result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_balance_dif
draw,3.65,1.63,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,18,-105,-0.19787045252883767
lose,3.12,1.44,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,59,-230,0.27917647058823525
lose,3.75,7.67,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,48,-303,0.1433801755236096
win,3.33,-2.16,2.4200000000000017,4.849999999999994,1.9399999999999977,0.75,-8.0,153.0,-10,151,0.7226921543635844
win,5.53,-8.95,8.530000000000001,7.739999999999995,6.049999999999997,7.469999999999999,-16.0,352.0,-33,340,0.4751159384915792
lose,3.27,-1.9899999999999998,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,3,-10,-0.06795970105648075
lose,3.22,-0.8600000000000003,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,1,-75,0.056419811596367
draw,5.27,-9.99,11.86,13.239999999999995,9.879999999999995,10.14,-18.0,389.0,-33,246,0.8546643282870026
win,8.65,-19.38,7.530000000000001,3.739999999999995,8.049999999999997,7.469999999999999,-30.0,524.0,-42,378,-0.27330035110118095
win,3.69,-4.49,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-9.0,135.0,-6,146,0.003139292378617653
win,4.08,-8.02,5.590000000000003,7.459999999999994,4.8799999999999955,4.469999999999999,-1.0,5.0,-14,162,0.0008256906250216911
win,4.38,-7.23,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,-45,339,0.04152713930243346
win,3.85,-6.05,11.030000000000001,12.83999999999999,10.849999999999994,10.670000000000002,-44.0,448.0,-25,251,-0.2046106287818995
win,4.17,-4.720000000000001,5.590000000000003,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,-19,258,0.8781766123023881
win,3.15,-0.2999999999999998,-3.8299999999999983,-3.4399999999999977,-5.890000000000001,-6.719999999999999,33.0,-104.0,-10,34,0.2248573324485733
lose,6.55,12.0,-8.829999999999998,-9.909999999999997,-9.180000000000007,-9.599999999999994,49.0,-535.0,45,-377,0.14701197240259745
