result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif
lose,3.33,-3.25,1.9000000000000057,4.200000000000003,0.5999999999999943,-0.09999999999999432,-44.0,480.0
win,3.33,-1.56,-0.47999999999998977,-1.4899999999999949,2.1599999999999966,-1.0999999999999943,-2.0,68.0
draw,3.94,2.51,-9.439999999999998,-10.5,-8.560000000000002,-7.060000000000002,18.0,-298.0
draw,3.07,-0.3200000000000003,-2.1200000000000045,-2.1200000000000045,-1.1200000000000045,-1.1200000000000045,19.0,-312.0
lose,3.3,2.84,-2.780000000000001,-4.890000000000001,-0.39000000000000057,1.6700000000000017,-1.0,5.0
lose,3.38,3.4099999999999997,-4.670000000000002,-5.670000000000002,-4.329999999999998,-0.3299999999999983,-10.0,75.0
draw,3.2,-0.7200000000000002,5.950000000000003,6.939999999999998,5.640000000000001,5.340000000000003,-28.0,91.0
draw,3.24,-2.8200000000000003,1.3400000000000034,3.3900000000000006,-0.3100000000000023,-0.8799999999999955,5.0,-51.0
win,2.99,1.6300000000000003,-4.319999999999993,-5.0,-4.810000000000002,-6.439999999999998,2.0,1.0
lose,3.46,0.029999999999999805,1.1800000000000068,1.2199999999999989,0.5799999999999983,-0.37999999999999545,-5.0,79.0
win,3.75,-4.3500000000000005,0.6200000000000045,0.0,5.25,-0.37999999999999545,-34.0,397.0
lose,3.3,-3.3899999999999997,0.12999999999999545,-4.700000000000003,-0.030000000000001137,0.769999999999996,-48.0,188.0
lose,3.15,2.0,-6.52000000000001,-7.439999999999998,-7.180000000000007,-7.38000000000001,-10.0,55.0
draw,3.4,-2.6500000000000004,4.609999999999999,3.549999999999997,5.950000000000003,6.219999999999999,-26.0,336.0
draw,2.74,3.29,-6.5,-8.170000000000002,-5.5,-6.219999999999999,3.0,-84.0
lose,3.22,-1.1099999999999999,0.7800000000000011,0.10999999999999943,0.060000000000002274,-0.5,-15.0,98.0
win,3.1,-1.7000000000000002,-1.1200000000000045,-1.4399999999999977,-2.0600000000000023,-5.060000000000002,16.0,-53.0
draw,4.12,3.8,-11.400000000000006,-11.719999999999999,-11.620000000000005,-12.780000000000001,3.0,-41.0
lose,4.1,6.720000000000001,-7.679999999999993,-9.689999999999998,-4.840000000000003,-8.599999999999994,10.0,-110.0
draw,5.52,-13.67,5.439999999999998,6.5,3.5600000000000023,5.060000000000002,-17.0,292.0
lose,2.84,-1.0700000000000003,2.3299999999999983,3.6099999999999994,2.450000000000003,2.3400000000000034,10.0,-278.0
win,3.79,-5.56,10.560000000000002,11.939999999999998,10.620000000000005,12.120000000000005,-28.0,110.0
lose,2.98,-0.6699999999999999,-0.21000000000000796,1.2600000000000051,-0.09000000000000341,-0.5900000000000034,6.0,-79.0
win,6.33,-16.89,14.439999999999998,15.5,11.560000000000002,13.060000000000002,-40.0,411.0
win,3.36,-4.33,8.439999999999998,8.420000000000002,8.710000000000008,9.14,-21.0,85.0
draw,2.97,-1.5900000000000003,0.5,1.1700000000000017,0.12000000000000455,0.6200000000000045,-1.0,4.0
win,5.5,-13.870000000000001,21.439999999999998,16.5,22.560000000000002,24.060000000000002,-41.0,149.0
draw,4.04,-5.37,8.049999999999997,9.5,7.890000000000001,8.560000000000002,-5.0,113.0
win,3.09,-0.94,0.75,-1.4599999999999937,1.5100000000000051,2.25,5.0,-165.0
win,7.16,-9.66,11.11,11.719999999999999,11.450000000000003,12.439999999999998,-29.0,420.0
win,3.12,-0.4700000000000002,3.1700000000000017,3.3900000000000006,3.450000000000003,3.0,4.0,-142.0
win,3.08,-2.1,5.159999999999997,4.780000000000001,5.810000000000002,7.099999999999994,-8.0,135.0
lose,3.12,0.1299999999999999,-0.5499999999999972,0.8400000000000034,-0.5499999999999972,0.5,18.0,-425.0
win,5.87,-10.58,14.780000000000001,15.280000000000001,12.560000000000002,14.219999999999999,-22.0,201.0
lose,3.12,-1.7400000000000002,6.340000000000003,6.0,6.390000000000001,6.719999999999999,-10.0,170.0
win,4.61,-7.220000000000001,5.780000000000001,4.780000000000001,11.060000000000002,6.719999999999999,-17.0,192.0
win,3.89,-4.949999999999999,11.680000000000007,10.180000000000007,11.86,12.219999999999999,-2.0,55.0
draw,3.5,-5.5600000000000005,11.780000000000001,11.379999999999995,12.36,12.920000000000002,-24.0,88.0
draw,3.25,-3.7500000000000004,6.340000000000003,8.400000000000006,6.75,5.280000000000001,-30.0,113.0
win,5.57,-8.879999999999999,6.829999999999998,5.439999999999998,5.109999999999999,5.219999999999999,-24.0,526.0
win,3.28,-1.0700000000000003,1.2999999999999972,-2.299999999999997,2.0600000000000023,1.75,-1.0,67.0
draw,3.0,-0.3400000000000003,1.2999999999999972,-2.299999999999997,2.0600000000000023,1.75,12.0,-65.0
win,3.9,-5.72,11.659999999999997,10.879999999999995,12.0,11.939999999999998,-15.0,316.0
win,4.94,-10.1,10.829999999999998,9.439999999999998,10.11,7.219999999999999,-5.0,7.0
win,3.03,0.28000000000000025,1.3900000000000006,-1.0600000000000023,1.5499999999999972,0.1599999999999966,-3.0,97.0
draw,5.61,-7.82,7.829999999999998,2.9399999999999977,8.61,7.719999999999999,-22.0,467.0
lose,2.88,-0.8300000000000001,1.1799999999999926,0.20000000000000284,1.4599999999999937,-0.4300000000000068,4.0,-34.0
lose,4.5,-5.99,6.890000000000001,5.159999999999997,6.939999999999998,6.219999999999999,-15.0,570.0
win,3.53,-1.6600000000000001,1.8900000000000006,0.10999999999999943,1.6700000000000017,0.7800000000000011,-3.0,146.0
win,3.3,-2.44,1.8900000000000006,0.10999999999999943,1.6700000000000017,0.7800000000000011,6.0,-46.0
lose,3.73,-4.1,6.159999999999997,3.769999999999996,5.780000000000001,6.890000000000001,-13.0,257.0
lose,3.32,0.16999999999999993,-0.7800000000000011,-0.6200000000000045,-1.3299999999999983,-1.6099999999999994,5.0,-454.0
win,4.63,-6.18,8.069999999999993,4.969999999999999,8.349999999999994,7.039999999999992,-17.0,602.0
win,3.46,-4.0,8.069999999999993,4.969999999999999,8.349999999999994,7.039999999999992,2.0,-24.0
draw,3.14,-0.9300000000000002,3.8299999999999983,7.939999999999998,3.3900000000000006,4.219999999999999,13.0,-34.0
lose,4.23,6.09,-7.829999999999998,-2.9399999999999977,-8.61,-7.719999999999999,28.0,-350.0
lose,3.4,-0.5500000000000003,1.6099999999999994,5.5,0.8299999999999983,1.0,10.0,-168.0
win,3.25,-0.5499999999999998,1.6099999999999994,5.5,0.8299999999999983,1.0,42.0,-159.0
lose,4.09,5.609999999999999,-7.409999999999997,-9.61999999999999,-6.929999999999993,-4.349999999999994,5.0,-52.0
win,3.57,2.0100000000000002,-0.8799999999999955,-2.4799999999999898,-1.6799999999999926,1.3200000000000074,-5.0,143.0
win,3.18,1.7000000000000002,-2.3799999999999955,-3.3799999999999955,2.6200000000000045,0.12000000000000455,-9.0,74.0
lose,3.47,4.0,-8.099999999999994,-9.200000000000003,-7.0,-6.0,22.0,-196.0
lose,4.11,4.1,-3.3799999999999955,-3.5600000000000023,-0.9399999999999977,-1.4399999999999977,19.0,-160.0
lose,4.47,5.52,-8.439999999999998,-6.8799999999999955,-5.810000000000002,-8.939999999999998,34.0,-421.0
lose,3.94,2.4699999999999998,-7.450000000000003,-7.0,-5.579999999999998,-5.290000000000006,5.0,-89.0
draw,3.1,-0.20000000000000018,3.0,8.0,2.0,0.0,-42.0,135.0
draw,3.5,2.9699999999999998,-2.5,2.5,1.5,-3.0,-4.0,26.0
draw,4.06,4.630000000000001,-6.939999999999998,-1.3299999999999983,-8.439999999999998,-8.439999999999998,29.0,-561.0
lose,6.79,18.310000000000002,-9.61,-2.0600000000000023,-11.439999999999998,-10.829999999999998,26.0,-434.0
win,3.7,-5.6000000000000005,10.480000000000004,10.679999999999993,10.540000000000006,12.370000000000005,-36.0,131.0
lose,4.03,-4.9399999999999995,9.650000000000006,9.239999999999995,8.650000000000006,7.650000000000006,-24.0,377.0
draw,2.79,-0.56,-0.6299999999999955,-1.0400000000000063,-0.9099999999999966,-0.06999999999999318,7.0,-27.0
