,Year,date,home_team,away_team,home_score,away_score,home_ranking,away_ranking,rank_dif,goal_dif
94,2006,2006-06-03,Switzerland,China PR,4,1,8,,,3
95,2006,2006-06-04,Brazil,New Zealand,4,0,2,,,4
96,2006,2006-06-04,Colombia,Morocco,2,0,10,,,2
97,2006,2006-06-04,Netherlands,Australia,1,1,10,,,0
98,2006,2006-06-04,Turkey,North Macedonia,0,1,10,,,-1
99,2006,2006-06-07,France,China PR,3,1,3,,,2
100,2006,2006-06-07,Spain,Croatia,2,1,7,6,1,1
101,2006,2006-06-09,Germany,Costa Rica,4,2,1,,,2
102,2006,2006-06-09,Poland,Ecuador,0,2,7,,,-2
103,2006,2006-06-10,Argentina,Ivory Coast,2,1,5,,,1
104,2006,2006-06-10,England,Paraguay,1,0,4,,,1
105,2006,2006-06-11,Angola,Portugal,0,1,,8,,-1
106,2006,2006-06-11,Mexico,Iran,3,1,9,,,2
107,2006,2006-06-11,Serbia,Netherlands,0,1,,10,,-1
108,2006,2006-06-12,Italy,Ghana,2,0,6,,,2
109,2006,2006-06-12,United States,Czech Republic,0,3,8,6,2,-3
110,2006,2006-06-13,Brazil,Croatia,1,0,2,6,-4,1
111,2006,2006-06-13,France,Switzerland,0,0,3,8,-5,0
112,2006,2006-06-14,Germany,Poland,1,0,1,7,-6,1
113,2006,2006-06-14,Spain,Ukraine,4,0,7,,,4
114,2006,2006-06-15,England,Trinidad and Tobago,2,0,4,,,2
115,2006,2006-06-16,Argentina,Serbia,6,0,5,,,6
116,2006,2006-06-16,Mexico,Angola,0,0,9,,,0
117,2006,2006-06-16,Netherlands,Ivory Coast,2,1,10,,,1
118,2006,2006-06-17,Czech Republic,Ghana,0,2,6,,,-2
119,2006,2006-06-17,Italy,United States,1,1,6,8,-2,0
120,2006,2006-06-17,Portugal,Iran,2,0,8,,,2
121,2006,2006-06-18,Brazil,Australia,2,0,2,,,2
122,2006,2006-06-18,France,South Korea,1,1,3,,,0
123,2006,2006-06-18,Japan,Croatia,0,0,,6,,0
124,2006,2006-06-19,Spain,Tunisia,3,1,7,,,2
125,2006,2006-06-19,Togo,Switzerland,0,2,,8,,-2
126,2006,2006-06-20,Costa Rica,Poland,1,2,,7,,-1
127,2006,2006-06-20,Germany,Ecuador,3,0,1,,,3
128,2006,2006-06-20,Sweden,England,2,2,,4,,0
129,2006,2006-06-21,Netherlands,Argentina,0,0,10,5,5,0
130,2006,2006-06-21,Portugal,Mexico,2,1,8,9,-1,1
131,2006,2006-06-22,Croatia,Australia,2,2,6,,,0
132,2006,2006-06-22,Czech Republic,Italy,0,2,6,6,0,-2
133,2006,2006-06-22,Ghana,United States,2,1,,8,,1
134,2006,2006-06-22,Japan,Brazil,1,4,,2,,-3
135,2006,2006-06-23,Saudi Arabia,Spain,0,1,,7,,-1
136,2006,2006-06-23,Switzerland,South Korea,2,0,8,,,2
137,2006,2006-06-23,Togo,France,0,2,,3,,-2
138,2006,2006-06-24,Argentina,Mexico,2,1,5,9,-4,1
139,2006,2006-06-24,Germany,Sweden,2,0,1,,,2
140,2006,2006-06-25,England,Ecuador,1,0,4,,,1
141,2006,2006-06-25,Portugal,Netherlands,1,0,8,10,-2,1
142,2006,2006-06-26,Italy,Australia,1,0,6,,,1
143,2006,2006-06-26,Switzerland,Ukraine,0,0,8,,,0
144,2006,2006-06-27,Brazil,Ghana,3,0,2,,,3
145,2006,2006-06-27,Spain,France,1,3,7,3,4,-2
146,2006,2006-06-30,Germany,Argentina,1,1,1,5,-4,0
147,2006,2006-06-30,Italy,Ukraine,3,0,6,,,3
