,Year,date,home_team,away_team,home_score,away_score,home_ranking,away_ranking,rank_dif,goal_dif
1072,2010,2010-03-03,England,Egypt,3,1,4,9,-5,2
1073,2010,2010-03-03,France,Spain,0,2,3,7,-4,-2
1074,2010,2010-03-03,Germany,Argentina,0,1,1,5,-4,-1
1075,2010,2010-03-03,Hungary,Russia,1,1,,9,,0
1076,2010,2010-03-03,Italy,Cameroon,0,0,6,,,0
1077,2010,2010-03-03,Mexico,New Zealand,2,0,9,,,2
1078,2010,2010-03-03,Netherlands,United States,2,1,10,8,2,1
1079,2010,2010-03-03,Nigeria,DR Congo,5,2,9,,,3
1080,2010,2010-03-03,Poland,Bulgaria,2,0,7,,,2
1081,2010,2010-03-03,Portugal,China PR,2,0,8,,,2
1082,2010,2010-03-03,Scotland,Czech Republic,1,0,,6,,1
1083,2010,2010-03-03,Switzerland,Uruguay,1,3,8,8,0,-2
1084,2010,2010-03-03,Turkey,Honduras,2,0,10,,,2
1085,2010,2010-03-17,Mexico,North Korea,2,1,9,,,1
1086,2010,2010-03-24,Mexico,Iceland,0,0,9,,,0
1087,2010,2010-03-31,Chile,Venezuela,0,0,10,,,0
1088,2010,2010-05-05,Argentina,Haiti,4,0,5,,,4
1089,2010,2010-05-05,Chile,Trinidad and Tobago,2,0,10,,,2
1090,2010,2010-05-07,Mexico,Ecuador,0,0,9,,,0
1091,2010,2010-05-10,Mexico,Senegal,1,0,9,,,1
1092,2010,2010-05-13,Germany,Malta,3,0,1,,,3
1093,2010,2010-05-13,Mexico,Angola,1,0,9,,,1
1094,2010,2010-05-16,Mexico,Chile,1,0,9,10,-1,1
1095,2010,2010-05-19,Austria,Croatia,0,1,10,6,4,-1
1096,2010,2010-05-19,Belgium,Bulgaria,2,1,1,,,1
1097,2010,2010-05-22,Turkey,Czech Republic,2,1,10,6,4,1
1098,2010,2010-05-23,Croatia,Wales,2,0,6,,,2
1099,2010,2010-05-24,Argentina,Canada,5,0,5,,,5
1100,2010,2010-05-24,England,Mexico,3,1,4,9,-5,2
1101,2010,2010-05-24,Portugal,Cape Verde,0,0,8,,,0
1102,2010,2010-05-25,Nigeria,Saudi Arabia,0,0,9,,,0
1103,2010,2010-05-25,United States,Czech Republic,2,4,8,6,2,-2
1104,2010,2010-05-26,Chile,Zambia,3,0,10,,,3
1105,2010,2010-05-26,Estonia,Croatia,0,0,,6,,0
1106,2010,2010-05-26,France,Costa Rica,2,1,3,,,1
1107,2010,2010-05-26,Netherlands,Mexico,2,1,10,9,1,1
1108,2010,2010-05-26,Northern Ireland,Turkey,0,2,,10,,-2
1109,2010,2010-05-26,Uruguay,Israel,4,1,8,,,3
1110,2010,2010-05-27,Denmark,Senegal,2,0,9,,,2
1111,2010,2010-05-27,South Africa,Colombia,2,1,,10,,1
1112,2010,2010-05-29,Hungary,Germany,0,3,,1,,-3
1113,2010,2010-05-29,Poland,Finland,0,0,7,,,0
1114,2010,2010-05-29,Spain,Saudi Arabia,3,2,7,,,1
1115,2010,2010-05-29,United States,Turkey,2,1,8,10,-2,1
1116,2010,2010-05-30,Chile,Northern Ireland,1,0,10,,,1
1117,2010,2010-05-30,Chile,Israel,3,0,10,,,3
1118,2010,2010-05-30,Japan,England,1,2,,4,,-1
1119,2010,2010-05-30,Mexico,Gambia,5,1,9,,,4
1120,2010,2010-05-30,Nigeria,Colombia,1,1,9,10,-1,0
1121,2010,2010-05-30,Tunisia,France,1,1,,3,,0
1122,2010,2010-06-01,Australia,Denmark,1,0,,9,,1
1123,2010,2010-06-01,Netherlands,Ghana,4,1,10,,,3
1124,2010,2010-06-01,Portugal,Cameroon,3,1,8,,,2
1125,2010,2010-06-01,Switzerland,Costa Rica,0,1,8,,,-1
1126,2010,2010-06-02,Serbia,Poland,0,0,,7,,0
1127,2010,2010-06-02,Zimbabwe,Brazil,0,3,,2,,-3
1128,2010,2010-06-03,Germany,Bosnia and Herzegovina,3,1,1,,,2
1129,2010,2010-06-03,Italy,Mexico,1,2,6,9,-3,-1
1130,2010,2010-06-03,Spain,South Korea,1,0,7,,,1
1131,2010,2010-06-04,France,China PR,0,1,3,,,-1
1132,2010,2010-06-05,Australia,United States,1,3,,8,,-2
1133,2010,2010-06-05,Netherlands,Hungary,6,1,10,,,5
1134,2010,2010-06-05,South Africa,Denmark,1,0,,9,,1
1135,2010,2010-06-05,Switzerland,Italy,1,1,8,6,2,0
1136,2010,2010-06-06,Nigeria,North Korea,3,1,9,,,2
1137,2010,2010-06-07,Tanzania,Brazil,1,5,,2,,-4
1138,2010,2010-06-08,Mozambique,Portugal,0,3,,8,,-3
1139,2010,2010-06-08,Spain,Poland,6,0,7,7,0,6
1140,2010,2010-06-11,South Africa,Mexico,1,1,,9,,0
1141,2010,2010-06-11,Uruguay,France,0,0,8,3,5,0
1142,2010,2010-06-12,Argentina,Nigeria,1,0,5,9,-4,1
1143,2010,2010-06-12,England,United States,1,1,4,8,-4,0
1144,2010,2010-06-13,Germany,Australia,4,0,1,,,4
1145,2010,2010-06-14,Italy,Paraguay,1,1,6,,,0
1146,2010,2010-06-14,Netherlands,Denmark,2,0,10,9,1,2
1147,2010,2010-06-15,Brazil,North Korea,2,1,2,,,1
1148,2010,2010-06-15,Ivory Coast,Portugal,0,0,,8,,0
1149,2010,2010-06-16,Honduras,Chile,0,1,,10,,-1
1150,2010,2010-06-16,South Africa,Uruguay,0,3,,8,,-3
1151,2010,2010-06-16,Spain,Switzerland,0,1,7,8,-1,-1
1152,2010,2010-06-17,Argentina,South Korea,4,1,5,,,3
1153,2010,2010-06-17,France,Mexico,0,2,3,9,-6,-2
1154,2010,2010-06-17,Greece,Nigeria,2,1,,9,,1
1155,2010,2010-06-18,England,Algeria,0,0,4,,,0
1156,2010,2010-06-18,Germany,Serbia,0,1,1,,,-1
1157,2010,2010-06-18,Slovenia,United States,2,2,,8,,0
1158,2010,2010-06-19,Cameroon,Denmark,1,2,,9,,-1
1159,2010,2010-06-19,Netherlands,Japan,1,0,10,,,1
1160,2010,2010-06-20,Brazil,Ivory Coast,3,1,2,,,2
1161,2010,2010-06-20,Italy,New Zealand,1,1,6,,,0
1162,2010,2010-06-21,Chile,Switzerland,1,0,10,8,2,1
1163,2010,2010-06-21,Portugal,North Korea,7,0,8,,,7
1164,2010,2010-06-21,Spain,Honduras,2,0,7,,,2
1165,2010,2010-06-22,Greece,Argentina,0,2,,5,,-2
1166,2010,2010-06-22,Mexico,Uruguay,0,1,9,8,1,-1
1167,2010,2010-06-22,Nigeria,South Korea,2,2,9,,,0
1168,2010,2010-06-22,South Africa,France,2,1,,3,,1
1169,2010,2010-06-23,Ghana,Germany,0,1,,1,,-1
1170,2010,2010-06-23,Slovenia,England,0,1,,4,,-1
1171,2010,2010-06-23,United States,Algeria,1,0,8,,,1
1172,2010,2010-06-24,Cameroon,Netherlands,1,2,,10,,-1
1173,2010,2010-06-24,Denmark,Japan,1,3,9,,,-2
1174,2010,2010-06-24,Slovakia,Italy,3,2,,6,,1
1175,2010,2010-06-25,Chile,Spain,1,2,10,7,3,-1
1176,2010,2010-06-25,Portugal,Brazil,0,0,8,2,6,0
1177,2010,2010-06-25,Switzerland,Honduras,0,0,8,,,0
1178,2010,2010-06-26,Uruguay,South Korea,2,1,8,,,1
1179,2010,2010-06-26,United States,Ghana,1,2,8,,,-1
1180,2010,2010-06-27,Argentina,Mexico,3,1,5,9,-4,2
1181,2010,2010-06-27,Germany,England,4,1,1,4,-3,3
1182,2010,2010-06-28,Brazil,Chile,3,0,2,10,-8,3
1183,2010,2010-06-28,Netherlands,Slovakia,2,1,10,,,1
1184,2010,2010-06-29,Spain,Portugal,1,0,7,8,-1,1
1185,2010,2010-07-02,Netherlands,Brazil,2,1,10,2,8,1
1186,2010,2010-07-02,Uruguay,Ghana,1,1,8,,,0
1187,2010,2010-07-03,Argentina,Germany,0,4,5,1,4,-4
1188,2010,2010-07-03,Paraguay,Spain,0,1,,7,,-1
1189,2010,2010-07-06,Uruguay,Netherlands,2,3,8,10,-2,-1
1190,2010,2010-07-07,Germany,Spain,0,1,1,7,-6,-1
1191,2010,2010-07-10,Uruguay,Germany,2,3,8,1,7,-1
1192,2010,2010-07-11,Netherlands,Spain,0,1,10,7,3,-1
1193,2010,2010-08-10,Italy,Ivory Coast,0,1,6,,,-1
1194,2010,2010-08-10,United States,Brazil,0,2,8,2,6,-2
1195,2010,2010-08-11,Angola,Uruguay,0,2,,8,,-2
1196,2010,2010-08-11,Austria,Switzerland,0,1,10,8,2,-1
1197,2010,2010-08-11,Bolivia,Colombia,1,1,,10,,0
1198,2010,2010-08-11,Czech Republic,Latvia,4,1,6,,,3
1199,2010,2010-08-11,Denmark,Germany,2,2,9,1,8,0
1200,2010,2010-08-11,Egypt,DR Congo,6,3,9,,,3
1201,2010,2010-08-11,England,Hungary,2,1,4,,,1
1202,2010,2010-08-11,Finland,Belgium,1,0,,1,,1
1203,2010,2010-08-11,Republic of Ireland,Argentina,0,1,,5,,-1
1204,2010,2010-08-11,South Korea,Nigeria,2,1,,9,,1
1205,2010,2010-08-11,Mexico,Spain,1,1,9,7,2,0
1206,2010,2010-08-11,Norway,France,2,1,,3,,1
1207,2010,2010-08-11,Poland,Cameroon,0,3,7,,,-3
1208,2010,2010-08-11,Russia,Bulgaria,1,0,9,,,1
1209,2010,2010-08-11,Slovakia,Croatia,1,1,,6,,0
1210,2010,2010-08-11,Turkey,Romania,2,0,10,,,2
1211,2010,2010-08-11,Ukraine,Netherlands,1,1,,10,,0
1212,2010,2010-09-03,Andorra,Russia,0,2,,9,,-2
1213,2010,2010-09-03,Belgium,Germany,0,1,1,1,0,-1
1214,2010,2010-09-03,England,Bulgaria,4,0,4,,,4
1215,2010,2010-09-03,Estonia,Italy,1,2,,6,,-1
1216,2010,2010-09-03,France,Belarus,0,1,3,,,-1
1217,2010,2010-09-03,Kazakhstan,Turkey,0,3,,10,,-3
1218,2010,2010-09-03,Latvia,Croatia,0,3,,6,,-3
1219,2010,2010-09-03,Liechtenstein,Spain,0,4,,7,,-4
1220,2010,2010-09-03,Portugal,Cyprus,4,4,8,,,0
1221,2010,2010-09-03,San Marino,Netherlands,0,5,,10,,-5
1222,2010,2010-09-03,Switzerland,Australia,0,0,8,,,0
1223,2010,2010-09-03,Venezuela,Colombia,0,2,,10,,-2
1224,2010,2010-09-04,Mexico,Ecuador,1,2,9,,,-1
1225,2010,2010-09-04,Poland,Ukraine,1,1,7,,,0
1226,2010,2010-09-05,Egypt,Sierra Leone,1,1,9,,,0
1227,2010,2010-09-05,Nigeria,Madagascar,2,0,9,,,2
1228,2010,2010-09-07,Argentina,Spain,4,1,5,7,-2,3
1229,2010,2010-09-07,Austria,Kazakhstan,2,0,10,,,2
1230,2010,2010-09-07,Bosnia and Herzegovina,France,0,2,,3,,-2
1231,2010,2010-09-07,Croatia,Greece,0,0,6,,,0
1232,2010,2010-09-07,Czech Republic,Lithuania,0,1,6,,,-1
1233,2010,2010-09-07,Denmark,Iceland,1,0,9,,,1
1234,2010,2010-09-07,Germany,Azerbaijan,6,1,1,,,5
1235,2010,2010-09-07,Italy,Faroe Islands,5,0,6,,,5
1236,2010,2010-09-07,Mexico,Colombia,1,0,9,10,-1,1
1237,2010,2010-09-07,Netherlands,Finland,2,1,10,,,1
1238,2010,2010-09-07,Norway,Portugal,1,0,,8,,1
1239,2010,2010-09-07,Poland,Australia,1,2,7,,,-1
1240,2010,2010-09-07,Russia,Slovakia,0,1,9,,,-1
1241,2010,2010-09-07,Switzerland,England,1,3,8,4,4,-2
1242,2010,2010-09-07,Turkey,Belgium,3,2,10,1,9,1
1243,2010,2010-09-07,Ukraine,Chile,2,1,,10,,1
1244,2010,2010-10-07,Iran,Brazil,0,3,,2,,-3
1245,2010,2010-10-08,Austria,Azerbaijan,3,0,10,,,3
1246,2010,2010-10-08,Colombia,Ecuador,1,0,10,,,1
1247,2010,2010-10-08,Czech Republic,Scotland,1,0,6,,,1
1248,2010,2010-10-08,Germany,Turkey,3,0,1,10,-9,3
1249,2010,2010-10-08,Indonesia,Uruguay,1,7,,8,,-6
1250,2010,2010-10-08,Republic of Ireland,Russia,2,3,,9,,-1
1251,2010,2010-10-08,Japan,Argentina,1,0,,5,,1
1252,2010,2010-10-08,Kazakhstan,Belgium,0,2,,1,,-2
1253,2010,2010-10-08,Moldova,Netherlands,0,1,,10,,-1
1254,2010,2010-10-08,Montenegro,Switzerland,1,0,,8,,1
1255,2010,2010-10-08,Northern Ireland,Italy,0,0,,6,,0
1256,2010,2010-10-08,Portugal,Denmark,3,1,8,9,-1,2
1257,2010,2010-10-08,Spain,Lithuania,3,1,7,,,2
1258,2010,2010-10-09,France,Romania,2,0,3,,,2
1259,2010,2010-10-09,Israel,Croatia,1,2,,6,,-1
1260,2010,2010-10-09,United Arab Emirates,Chile,0,2,,10,,-2
1261,2010,2010-10-09,United States,Poland,2,2,8,7,1,0
1262,2010,2010-10-10,Guinea,Nigeria,1,0,,9,,1
1263,2010,2010-10-10,Niger,Egypt,1,0,,9,,1
1264,2010,2010-10-11,Brazil,Ukraine,2,0,2,,,2
1265,2010,2010-10-12,Azerbaijan,Turkey,1,0,,10,,1
1266,2010,2010-10-12,Belgium,Austria,4,4,1,10,-9,0
1267,2010,2010-10-12,China PR,Uruguay,0,4,,8,,-4
1268,2010,2010-10-12,Croatia,Norway,2,1,6,,,1
1269,2010,2010-10-12,Denmark,Cyprus,2,0,9,,,2
1270,2010,2010-10-12,Ecuador,Poland,2,2,,7,,0
1271,2010,2010-10-12,England,Montenegro,0,0,4,,,0
1272,2010,2010-10-12,France,Luxembourg,2,0,3,,,2
1273,2010,2010-10-12,Iceland,Portugal,1,3,,8,,-2
1274,2010,2010-10-12,Italy,Serbia,3,0,6,,,3
1275,2010,2010-10-12,Kazakhstan,Germany,0,3,,1,,-3
1276,2010,2010-10-12,Liechtenstein,Czech Republic,0,2,,6,,-2
1277,2010,2010-10-12,North Macedonia,Russia,0,1,,9,,-1
1278,2010,2010-10-12,Mexico,Venezuela,2,2,9,,,0
1279,2010,2010-10-12,Netherlands,Sweden,4,1,10,,,3
1280,2010,2010-10-12,Oman,Chile,0,1,,10,,-1
1281,2010,2010-10-12,Scotland,Spain,2,3,,7,,-1
1282,2010,2010-10-12,Switzerland,Wales,4,1,8,,,3
1283,2010,2010-10-12,United States,Colombia,0,0,8,10,-2,0
1284,2010,2010-11-17,Argentina,Brazil,1,0,5,2,3,1
1285,2010,2010-11-17,Austria,Greece,1,2,10,,,-1
1286,2010,2010-11-17,Chile,Uruguay,2,0,10,8,2,2
1287,2010,2010-11-17,Colombia,Peru,1,1,10,,,0
1288,2010,2010-11-17,Croatia,Malta,3,0,6,,,3
1289,2010,2010-11-17,Denmark,Czech Republic,0,0,9,6,3,0
1290,2010,2010-11-17,Egypt,Australia,3,0,9,,,3
1291,2010,2010-11-17,England,France,1,2,4,3,1,-1
1292,2010,2010-11-17,Italy,Romania,1,1,6,,,0
1293,2010,2010-11-17,Netherlands,Turkey,1,0,10,10,0,1
1294,2010,2010-11-17,Poland,Ivory Coast,3,1,7,,,2
1295,2010,2010-11-17,Portugal,Spain,4,0,8,7,1,4
1296,2010,2010-11-17,Russia,Belgium,0,2,9,1,8,-2
1297,2010,2010-11-17,South Africa,United States,0,1,,8,,-1
1298,2010,2010-11-17,Sweden,Germany,0,0,,1,,0
1299,2010,2010-11-17,Switzerland,Ukraine,2,2,8,,,0
1300,2010,2010-12-10,Bosnia and Herzegovina,Poland,2,2,,7,,0
1301,2010,2010-12-16,Qatar,Egypt,2,1,,9,,1
1302,2011,2011-01-05,Egypt,Tanzania,5,1,9,,,4
1303,2011,2011-01-08,Egypt,Uganda,1,0,9,,,1
1304,2011,2011-01-11,Egypt,Burundi,3,0,9,,,3
1305,2011,2011-01-14,Egypt,Kenya,5,1,9,,,4
1306,2011,2011-01-17,Egypt,Uganda,3,1,9,,,2
1307,2011,2011-01-22,United States,Chile,1,1,8,10,-2,0
1308,2011,2011-02-06,Moldova,Poland,0,1,,7,,-1
1309,2011,2011-02-09,Argentina,Portugal,2,1,5,8,-3,1
1310,2011,2011-02-09,Belgium,Finland,1,1,1,,,0
1311,2011,2011-02-09,Croatia,Czech Republic,4,2,6,6,0,2
1312,2011,2011-02-09,Denmark,England,1,2,9,4,5,-1
1313,2011,2011-02-09,France,Brazil,1,0,3,2,1,1
1314,2011,2011-02-09,Germany,Italy,1,1,1,6,-5,0
1315,2011,2011-02-09,Iran,Russia,1,0,,9,,1
1316,2011,2011-02-09,Malta,Switzerland,0,0,,8,,0
1317,2011,2011-02-09,Mexico,Bosnia and Herzegovina,2,0,9,,,2
1318,2011,2011-02-09,Netherlands,Austria,3,1,10,10,0,2
1319,2011,2011-02-09,Nigeria,Sierra Leone,2,1,9,,,1
1320,2011,2011-02-09,Norway,Poland,0,1,,7,,-1
1321,2011,2011-02-09,Spain,Colombia,1,0,7,10,-3,1
1322,2011,2011-02-09,Turkey,South Korea,0,0,10,,,0
1323,2011,2011-03-16,Argentina,Venezuela,4,1,5,,,3
1324,2011,2011-03-25,Austria,Belgium,0,2,10,1,9,-2
1325,2011,2011-03-25,Estonia,Uruguay,2,0,,8,,2
1326,2011,2011-03-25,Hungary,Netherlands,0,4,,10,,-4
1327,2011,2011-03-25,Lithuania,Poland,2,0,,7,,2
1328,2011,2011-03-25,Luxembourg,France,0,2,,3,,-2
1329,2011,2011-03-25,Slovenia,Italy,0,1,,6,,-1
1330,2011,2011-03-25,Spain,Czech Republic,2,1,7,6,1,1
1331,2011,2011-03-26,Armenia,Russia,0,0,,9,,0
1332,2011,2011-03-26,Bulgaria,Switzerland,0,0,,8,,0
1333,2011,2011-03-26,Colombia,Ecuador,2,0,10,,,2
1334,2011,2011-03-26,Georgia,Croatia,1,0,,6,,1
1335,2011,2011-03-26,Germany,Kazakhstan,4,0,1,,,4
1336,2011,2011-03-26,Mexico,Paraguay,3,1,9,,,2
1337,2011,2011-03-26,Norway,Denmark,1,1,,9,,0
1338,2011,2011-03-26,Portugal,Chile,1,1,8,10,-2,0
1339,2011,2011-03-26,South Africa,Egypt,1,0,,9,,1
1340,2011,2011-03-26,United States,Argentina,1,1,8,5,3,0
1341,2011,2011-03-26,Wales,England,0,2,,4,,-2
1342,2011,2011-03-27,Brazil,Scotland,2,0,2,,,2
1343,2011,2011-03-27,Nigeria,Ethiopia,4,0,9,,,4
1344,2011,2011-03-29,Belgium,Azerbaijan,4,1,1,,,3
1345,2011,2011-03-29,Colombia,Chile,0,2,10,10,0,-2
1346,2011,2011-03-29,Costa Rica,Argentina,0,0,,5,,0
1347,2011,2011-03-29,Czech Republic,Liechtenstein,2,0,6,,,2
1348,2011,2011-03-29,England,Ghana,1,1,4,,,0
1349,2011,2011-03-29,France,Croatia,0,0,3,6,-3,0
1350,2011,2011-03-29,Germany,Australia,1,2,1,,,-1
1351,2011,2011-03-29,Greece,Poland,0,0,,7,,0
1352,2011,2011-03-29,Republic of Ireland,Uruguay,2,3,,8,,-1
1353,2011,2011-03-29,Lithuania,Spain,1,3,,7,,-2
1354,2011,2011-03-29,Mexico,Venezuela,1,1,9,,,0
1355,2011,2011-03-29,Netherlands,Hungary,5,3,10,,,2
1356,2011,2011-03-29,Nigeria,Kenya,3,0,9,,,3
1357,2011,2011-03-29,Portugal,Finland,2,0,8,,,2
1358,2011,2011-03-29,Qatar,Russia,1,1,,9,,0
1359,2011,2011-03-29,Slovakia,Denmark,1,2,,9,,-1
1360,2011,2011-03-29,Turkey,Austria,2,0,10,10,0,2
1361,2011,2011-03-29,Ukraine,Italy,0,2,,6,,-2
1362,2011,2011-03-29,United States,Paraguay,0,1,8,,,-1
1363,2011,2011-04-20,Argentina,Ecuador,2,2,5,,,0
1364,2011,2011-05-25,Argentina,Paraguay,4,2,5,,,2
1365,2011,2011-05-28,Mexico,Ecuador,1,1,9,,,0
1366,2011,2011-05-29,Germany,Uruguay,2,1,1,8,-7,1
1367,2011,2011-06-01,Mexico,New Zealand,3,0,9,,,3
1368,2011,2011-06-01,Nigeria,Argentina,4,1,9,5,4,3
1369,2011,2011-06-03,Austria,Germany,1,2,10,1,9,-1
1370,2011,2011-06-03,Belarus,France,1,1,,3,,0
1371,2011,2011-06-03,Belgium,Turkey,1,1,1,10,-9,0
1372,2011,2011-06-03,Croatia,Georgia,2,1,6,,,1
1373,2011,2011-06-03,Italy,Estonia,3,0,6,,,3
1374,2011,2011-06-04,Brazil,Netherlands,0,0,2,10,-8,0
1375,2011,2011-06-04,England,Switzerland,2,2,4,8,-4,0
1376,2011,2011-06-04,Iceland,Denmark,0,2,,9,,-2
1377,2011,2011-06-04,Peru,Czech Republic,0,0,,6,,0
1378,2011,2011-06-04,Portugal,Norway,1,0,8,,,1
1379,2011,2011-06-04,Russia,Armenia,3,1,9,,,2
1380,2011,2011-06-04,United States,Spain,0,4,8,7,1,-4
1381,2011,2011-06-05,Egypt,South Africa,0,0,9,,,0
1382,2011,2011-06-05,Ethiopia,Nigeria,2,2,,9,,0
1383,2011,2011-06-05,Mexico,El Salvador,5,0,9,,,5
1384,2011,2011-06-05,Poland,Argentina,2,1,7,5,2,1
1385,2011,2011-06-06,Ukraine,France,1,4,,3,,-3
1386,2011,2011-06-07,Austria,Latvia,3,1,10,,,2
1387,2011,2011-06-07,Azerbaijan,Germany,1,3,,1,,-2
1388,2011,2011-06-07,Brazil,Romania,1,0,2,,,1
1389,2011,2011-06-07,Italy,Republic of Ireland,0,2,6,,,-2
1390,2011,2011-06-07,Japan,Czech Republic,0,0,,6,,0
1391,2011,2011-06-07,Russia,Cameroon,0,0,9,,,0
1392,2011,2011-06-07,United States,Canada,2,0,8,,,2
1393,2011,2011-06-07,Venezuela,Spain,0,3,,7,,-3
1394,2011,2011-06-08,Uruguay,Netherlands,1,1,8,10,-2,0
1395,2011,2011-06-09,Cuba,Mexico,0,5,,9,,-5
1396,2011,2011-06-09,Poland,France,0,1,7,3,4,-1
1397,2011,2011-06-11,Mexico,Venezuela,0,3,9,,,-3
1398,2011,2011-06-11,United States,Panama,1,2,8,,,-1
1399,2011,2011-06-12,Mexico,Costa Rica,4,1,9,,,3
1400,2011,2011-06-14,United States,Guadeloupe,1,0,8,,,1
1401,2011,2011-06-18,Mexico,Guatemala,2,1,9,,,1
1402,2011,2011-06-19,Chile,Estonia,4,0,10,,,4
1403,2011,2011-06-19,United States,Jamaica,2,0,8,,,2
1404,2011,2011-06-20,Argentina,Albania,4,0,5,,,4
1405,2011,2011-06-22,Honduras,Mexico,0,2,,9,,-2
1406,2011,2011-06-22,United States,Panama,1,0,8,,,1
1407,2011,2011-06-23,Uruguay,Estonia,3,0,8,,,3
1408,2011,2011-06-23,Paraguay,Chile,0,0,,10,,0
1409,2011,2011-06-25,Colombia,Senegal,2,0,10,,,2
1410,2011,2011-06-25,United States,Mexico,2,4,8,9,-1,-2
1411,2011,2011-06-27,Bolivia,Mexico,0,1,,9,,-1
1412,2011,2011-07-01,Argentina,Bolivia,1,1,5,,,0
1413,2011,2011-07-02,Colombia,Costa Rica,1,0,10,,,1
1414,2011,2011-07-03,Brazil,Venezuela,0,0,2,,,0
1415,2011,2011-07-04,Chile,Mexico,2,1,10,9,1,1
1416,2011,2011-07-04,Uruguay,Peru,1,1,8,,,0
1417,2011,2011-07-06,Argentina,Colombia,0,0,5,10,-5,0
1418,2011,2011-07-08,Peru,Mexico,1,0,,9,,1
1419,2011,2011-07-08,Uruguay,Chile,1,1,8,10,-2,0
1420,2011,2011-07-09,Brazil,Paraguay,2,2,2,,,0
1421,2011,2011-07-10,Colombia,Bolivia,2,0,10,,,2
1422,2011,2011-07-11,Argentina,Costa Rica,3,0,5,,,3
1423,2011,2011-07-12,Chile,Peru,1,0,10,,,1
1424,2011,2011-07-12,Uruguay,Mexico,1,0,8,9,-1,1
1425,2011,2011-07-13,Brazil,Ecuador,4,2,2,,,2
1426,2011,2011-07-16,Argentina,Uruguay,1,1,5,8,-3,0
1427,2011,2011-07-16,Colombia,Peru,0,2,10,,,-2
1428,2011,2011-07-17,Brazil,Paraguay,0,0,2,,,0
1429,2011,2011-07-17,Chile,Venezuela,1,2,10,,,-1
1430,2011,2011-07-19,Peru,Uruguay,0,2,,8,,-2
1431,2011,2011-07-24,Uruguay,Paraguay,3,0,8,,,3
1432,2011,2011-08-10,Austria,Slovakia,1,2,10,,,-1
1433,2011,2011-08-10,France,Chile,1,1,3,10,-7,0
1434,2011,2011-08-10,Germany,Brazil,3,2,1,2,-1,1
1435,2011,2011-08-10,Republic of Ireland,Croatia,0,0,,6,,0
1436,2011,2011-08-10,Italy,Spain,2,1,6,7,-1,1
1437,2011,2011-08-10,Liechtenstein,Switzerland,1,2,,8,,-1
1438,2011,2011-08-10,Norway,Czech Republic,3,0,,6,,3
1439,2011,2011-08-10,Poland,Georgia,1,0,7,,,1
1440,2011,2011-08-10,Portugal,Luxembourg,5,0,8,,,5
1441,2011,2011-08-10,Russia,Serbia,1,0,9,,,1
1442,2011,2011-08-10,Scotland,Denmark,2,1,,9,,1
1443,2011,2011-08-10,Slovenia,Belgium,0,0,,1,,0
1444,2011,2011-08-10,Turkey,Estonia,3,0,10,,,3
1445,2011,2011-08-10,United States,Mexico,1,1,8,9,-1,0
1446,2011,2011-09-02,Albania,France,1,2,,3,,-1
1447,2011,2011-09-02,Argentina,Venezuela,1,0,5,,,1
1448,2011,2011-09-02,Azerbaijan,Belgium,1,1,,1,,0
1449,2011,2011-09-02,Bulgaria,England,0,3,,4,,-3
1450,2011,2011-09-02,Cyprus,Portugal,0,4,,8,,-4
1451,2011,2011-09-02,Faroe Islands,Italy,0,1,,6,,-1
1452,2011,2011-09-02,Germany,Austria,6,2,1,10,-9,4
1453,2011,2011-09-02,Malta,Croatia,1,3,,6,,-2
1454,2011,2011-09-02,Netherlands,San Marino,11,0,10,,,11
1455,2011,2011-09-02,Poland,Mexico,1,1,7,9,-2,0
1456,2011,2011-09-02,Russia,North Macedonia,1,0,9,,,1
1457,2011,2011-09-02,Spain,Chile,3,2,7,10,-3,1
1458,2011,2011-09-02,Turkey,Kazakhstan,2,1,10,,,1
1459,2011,2011-09-02,Ukraine,Uruguay,2,3,,8,,-1
1460,2011,2011-09-02,United States,Costa Rica,0,1,8,,,-1
1461,2011,2011-09-03,Honduras,Colombia,0,2,,10,,-2
1462,2011,2011-09-03,Scotland,Czech Republic,2,2,,6,,0
1463,2011,2011-09-03,Sierra Leone,Egypt,2,1,,9,,1
1464,2011,2011-09-04,Madagascar,Nigeria,0,2,,9,,-2
1465,2011,2011-09-04,Mexico,Chile,1,0,9,10,-1,1
1466,2011,2011-09-05,Brazil,Ghana,1,0,2,,,1
1467,2011,2011-09-06,Argentina,Nigeria,3,1,5,9,-4,2
1468,2011,2011-09-06,Austria,Turkey,0,0,10,10,0,0
1469,2011,2011-09-06,Belgium,United States,1,0,1,8,-7,1
1470,2011,2011-09-06,Croatia,Israel,3,1,6,,,2
1471,2011,2011-09-06,Czech Republic,Ukraine,4,0,6,,,4
1472,2011,2011-09-06,Denmark,Norway,2,0,9,,,2
1473,2011,2011-09-06,England,Wales,1,0,4,,,1
1474,2011,2011-09-06,Finland,Netherlands,0,2,,10,,-2
1475,2011,2011-09-06,Italy,Slovenia,1,0,6,,,1
1476,2011,2011-09-06,Jamaica,Colombia,0,2,,10,,-2
1477,2011,2011-09-06,Poland,Germany,2,2,7,1,6,0
1478,2011,2011-09-06,Romania,France,0,0,,3,,0
1479,2011,2011-09-06,Russia,Republic of Ireland,0,0,9,,,0
1480,2011,2011-09-06,Spain,Liechtenstein,6,0,7,,,6
1481,2011,2011-09-06,Switzerland,Bulgaria,3,1,8,,,2
