date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,goal_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Country_Code_home,Previous_Rank_away,Total_Points_away,Country_Code_away,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,Elo_ranking_home,Elo_rating_home,total_game_home,total_wins_home,total_draw_home,total_lose_home,goal_for_home,goal_against_home,Elo_ranking_away,Elo_rating_away,total_game_away,total_wins_away,total_draw_away,total_lose_away,goal_for_away,goal_against_away,points_dif,win_rate_home,draw_rate_home,lose_rate_home,goal_balance_home,win_rate_away,draw_rate_away,lose_rate_away,goal_balance_away,Elo_ranking_dif,Elo_rating_dif,win_rate_dif,draw_rate_dif,lose_rate_dif,goal_balance_dif,goal_for_dif,goal_against_dif
2016,Albania,Switzerland,lose,5.16,3.23,1.9,0,1,-1,66.0,69.0,64.0,66.0,76.94,74.88,75.81,76.44,38.0,746.0,ALB,12.0,1050.0,SUI,3.2600000000000002,-10.939999999999998,-5.8799999999999955,-11.810000000000002,-10.439999999999998,26.0,65,1580,312,78,67,167,278,491,16,1857,785,269,169,347,1139,1361,-304.0,25.0,21.474358974358974,53.52564102564102,-0.6826923076923077,34.267515923566876,21.528662420382165,44.203821656050955,-0.28280254777070063,49,-277,-9.267515923566876,-9.267515923566876,-9.267515923566876,-0.3998897599216071,-0.3998897599216071,-0.3998897599216071
2014,Algeria,Russia,draw,3.65,3.65,2.02,1,1,0,77.0,77.0,78.0,76.0,77.53,77.53,76.2,75.4,26.0,792.0,ALG,22.0,870.0,RUS,1.63,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,42,1674,539,225,146,168,745,566,24,1779,667,351,175,141,1176,641,-78.0,41.74397031539889,27.087198515769945,31.16883116883117,0.3320964749536178,52.623688155922046,26.236881559220386,21.13943028485757,0.8020989505247377,18,-105,-10.879717840523156,-10.879717840523156,-10.879717840523156,-0.47000247557111985,-0.47000247557111985,-0.47000247557111985
2010,Algeria,Slovenia,lose,3.6,3.12,2.16,0,1,-1,77.0,77.0,78.0,76.0,72.5,71.5,71.56,69.56,26.0,784.0,ALG,31.0,767.0,SVN,1.44,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,98,1464,500,200,141,159,680,531,39,1694,170,59,44,67,212,219,17.0,40.0,28.199999999999996,31.8,0.298,34.705882352941174,25.882352941176475,39.411764705882355,-0.041176470588235294,59,-230,5.294117647058826,5.294117647058826,5.294117647058826,0.3391764705882353,0.3391764705882353,0.3391764705882353
2006,Angola,Portugal,lose,9.0,3.75,1.33,0,1,-1,72.0,73.0,71.0,72.0,81.94,82.33,81.44,80.44,61.0,568.0,ANG,10.0,753.0,POR,7.67,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,58,1592,246,96,78,72,307,266,10,1895,453,203,102,148,726,581,-185.0,39.02439024390244,31.70731707317073,29.268292682926827,0.16666666666666666,44.81236203090508,22.516556291390728,32.671081677704194,0.3200883002207506,48,-303,-5.78797178700264,-5.78797178700264,-5.78797178700264,-0.15342163355408392,-0.15342163355408392,-0.15342163355408392
2014,Argentina,Belgium,win,2.0,3.33,4.16,1,0,1,82.53,84.74,81.05,79.47,80.11,79.89,79.11,78.72,3.0,1251.0,ARG,11.0,1098.0,BEL,-2.16,2.4200000000000017,4.849999999999994,1.9399999999999977,0.75,-8.0,2,2050,964,514,237,213,1814,1037,12,1899,739,301,158,280,1266,1236,153.0,53.3195020746888,24.5850622406639,22.095435684647303,0.8060165975103735,40.73071718538566,21.380243572395127,37.88903924221921,0.04059539918809202,-10,151,12.588784889303142,12.588784889303142,12.588784889303142,0.7654211983222814,0.7654211983222814,0.7654211983222814
2014,Argentina,Bosnia and Herzegovina,win,1.31,5.53,10.26,2,1,1,82.53,84.74,81.05,79.47,74.0,77.0,75.0,72.0,3.0,1251.0,ARG,19.0,899.0,BIH,-8.95,8.530000000000001,7.739999999999995,6.049999999999997,7.469999999999999,-16.0,2,2050,964,514,237,213,1814,1037,35,1710,170,65,36,69,244,238,352.0,53.3195020746888,24.5850622406639,22.095435684647303,0.8060165975103735,38.23529411764706,21.176470588235293,40.588235294117645,0.03529411764705882,-33,340,15.084207957041741,15.084207957041741,15.084207957041741,0.7707224798633147,0.7707224798633147,0.7707224798633147
2018,Argentina,Croatia,lose,2.1,3.27,4.09,0,3,-3,82.53,84.74,81.05,79.47,78.12,78.5,76.75,74.62,4.0,1348.0,ARG,17.0,1048.0,CRO,-1.9899999999999998,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,13,1915,1017,544,251,222,1914,1081,10,1925,313,165,85,63,543,309,300.0,53.49065880039331,24.680432645034415,21.828908554572273,0.8190757128810227,52.715654952076676,27.15654952076677,20.12779552715655,0.7476038338658147,3,-10,0.7750038483166364,0.7750038483166364,0.7750038483166364,0.0714718790152079,0.0714718790152079,0.0714718790152079
2010,Argentina,Germany,lose,2.3,3.22,3.16,0,4,-4,82.53,84.74,81.05,79.47,83.83,82.44,83.11,81.22,8.0,1082.0,ARG,6.0,1173.0,GER,-0.8600000000000003,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,5,1992,905,480,221,204,1701,983,4,2067,851,490,174,187,1896,1011,-91.0,53.03867403314917,24.41988950276243,22.5414364640884,0.7933701657458564,57.57931844888367,20.44653349001175,21.974148061104586,1.0399529964747356,1,-75,-4.540644415734498,-4.540644415734498,-4.540644415734498,-0.2465828307288792,-0.2465828307288792,-0.2465828307288792
2018,Argentina,Iceland,draw,1.33,5.27,11.32,1,1,0,82.53,84.74,81.05,79.47,70.67,71.5,71.17,69.33,4.0,1348.0,ARG,22.0,959.0,ISL,-9.99,11.86,13.239999999999995,9.879999999999995,10.14,-18.0,13,1915,1017,544,251,222,1914,1081,46,1669,439,134,83,222,524,741,389.0,53.49065880039331,24.680432645034415,21.828908554572273,0.8190757128810227,30.52391799544419,18.906605922551254,50.56947608200456,-0.49430523917995445,-33,246,22.966740804949122,22.966740804949122,22.966740804949122,1.3133809520609772,1.3133809520609772,1.3133809520609772
2014,Argentina,Iran,win,1.14,8.65,20.52,1,0,1,82.53,84.74,81.05,79.47,75.0,81.0,73.0,72.0,3.0,1251.0,ARG,33.0,727.0,IRN,-19.38,7.530000000000001,3.739999999999995,8.049999999999997,7.469999999999999,-30.0,2,2050,964,514,237,213,1814,1037,44,1672,546,297,133,116,1012,444,524.0,53.3195020746888,24.5850622406639,22.095435684647303,0.8060165975103735,54.395604395604394,24.358974358974358,21.245421245421245,1.0402930402930404,-42,378,-1.076102320915595,-1.076102320915595,-1.076102320915595,-0.2342764427826669,-0.2342764427826669,-0.2342764427826669
