result,Draw_odd,odd_dif,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,Elo_ranking_dif,Elo_rating_dif,goal_balance_dif,xG_predicted
lose,3.23,3.26,-10.939999999999998,-5.879999999999996,-11.810000000000002,-10.439999999999998,26.0,-304.0,49,-277,-0.3998897599216071,-1.4311092426642278
draw,3.65,1.63,-0.5300000000000011,-0.5300000000000011,1.7999999999999972,0.5999999999999943,4.0,-78.0,18,-105,-0.4700024755711199,-0.5352851075372818
lose,3.12,1.44,4.5,5.5,6.439999999999998,6.439999999999998,-5.0,17.0,59,-230,0.3391764705882353,-1.1863200894609345
lose,3.75,7.67,-9.939999999999998,-9.329999999999998,-10.439999999999998,-8.439999999999998,51.0,-185.0,48,-303,-0.15342163355408392,-1.5665245189043477
win,3.33,-2.16,2.4200000000000017,4.849999999999994,1.9399999999999975,0.75,-8.0,153.0,-10,151,0.7654211983222814,0.798034535442359
win,5.53,-8.95,8.530000000000001,7.739999999999995,6.049999999999998,7.469999999999999,-16.0,352.0,-33,340,0.7707224798633147,1.782399428110922
lose,3.27,-1.99,4.409999999999997,6.239999999999995,4.299999999999997,4.849999999999994,-13.0,300.0,3,-10,0.0714718790152079,-0.04049852127530564
lose,3.22,-0.8600000000000003,-1.2999999999999972,2.299999999999997,-2.0600000000000023,-1.75,2.0,-91.0,1,-75,-0.2465828307288792,-0.37903671187560506
draw,5.27,-9.99,11.86,13.239999999999995,9.879999999999997,10.14,-18.0,389.0,-33,246,1.3133809520609772,1.292821121704335
win,8.65,-19.38,7.530000000000001,3.7399999999999953,8.049999999999997,7.469999999999999,-30.0,524.0,-42,378,-0.2342764427826669,1.9803140626157125
win,3.69,-4.49,5.5900000000000025,7.459999999999994,4.879999999999996,4.469999999999999,-9.0,135.0,-6,146,0.02515824521605503,0.771993136165413
win,4.08,-8.02,5.5900000000000025,7.459999999999994,4.879999999999996,4.469999999999999,-1.0,5.0,-14,162,0.026649816783596125,0.8553256138516405
win,4.38,-7.23,5.030000000000001,6.239999999999995,9.549999999999997,4.469999999999999,-14.0,126.0,-45,339,0.36016405887562736,1.7771911482555327
win,3.85,-6.05,11.03,12.839999999999991,10.849999999999996,10.670000000000002,-44.0,448.0,-25,251,-0.16139173901604842,1.3188625209812812
win,4.17,-4.7200000000000015,5.5900000000000025,9.86,5.239999999999995,3.030000000000001,-5.0,138.0,-19,258,1.1205644349939907,1.3553204799690057
win,3.15,-0.2999999999999998,-3.8299999999999983,-3.4399999999999977,-5.8900000000000015,-6.719999999999999,33.0,-104.0,-10,34,0.6545719973457199,0.18866579236182013
lose,6.55,12.0,-8.829999999999998,-9.909999999999997,-9.180000000000009,-9.599999999999994,49.0,-535.0,45,-377,0.1296164772727273,-1.95193722820315
lose,3.51,0.4199999999999999,0.5700000000000074,-1.539999999999992,0.4099999999999966,-0.21999999999999886,27.0,-365.0,19,-120,1.0796974522292992,-0.61340930536812
win,3.55,2.4,-5.5,-7.1099999999999985,-6.219999999999999,-5.049999999999997,2.0,-59.0,-5,33,0.3881678745996966,0.1834575125064309
lose,5.22,6.1800000000000015,-12.439999999999998,-11.5,-13.329999999999998,-13.549999999999995,57.0,-936.0,41,-301,-0.1411345108695652,-1.5561079591935691
lose,3.27,2.6,-3.1800000000000064,-3.5,-2.9300000000000064,-0.3800000000000097,84.0,-763.0,30,-160,-0.1485493230174082,-0.8217404995836889
lose,4.49,7.13,-8.89,-7.439999999999998,-9.290000000000006,-6.980000000000004,89.0,-939.0,32,-244,-0.4370724645174635,-1.2592360074363835
lose,3.65,-4.59,3.759999999999991,4.590000000000003,3.879999999999996,5.059999999999988,-10.0,146.0,7,-20,-0.06784260515603803,-0.09258131982919786
win,3.59,-3.69,4.939999999999999,5.0,-0.18000000000000682,8.239999999999995,-42.0,169.0,-17,99,0.6338142977607045,0.5272039829621196
draw,3.28,1.0999999999999996,-0.8400000000000034,-2.890000000000001,0.4299999999999926,1.9099999999999968,72.0,-496.0,7,-29,0.2802575744087361,-0.13945583852770085
win,5.26,-8.82,3.1099999999999994,2.890000000000001,1.1099999999999994,2.719999999999999,-15.0,306.0,-30,225,-0.2915010757655258,1.1834472447411615
win,3.79,-1.0500000000000005,-2.3299999999999983,-3.61,-2.450000000000003,-2.3400000000000034,-10.0,278.0,-4,75,-1.184007844535568,0.4022052664327782
lose,3.0,-0.3500000000000001,-2.5400000000000063,-2.3499999999999943,-2.5400000000000063,-2.9300000000000064,-14.0,503.0,6,-37,-0.6229513351072984,-0.18112207737081462
lose,3.16,1.04,-2.5400000000000063,-2.3499999999999943,-2.5400000000000063,-2.9300000000000064,-9.0,155.0,-3,44,-0.5477164120642382,0.24074859091571232
win,4.72,-7.51,4.1099999999999985,4.8900000000000015,2.1099999999999994,2.719999999999999,-52.0,727.0,-33,304,-0.3469064399383539,1.59490135331691
win,6.75,-16.41,12.11,11.89,9.11,10.72,-50.0,689.0,-62,467,0.5394471712735727,2.4438509697453528
win,3.34,-0.6800000000000002,-1.8299999999999983,-2.4399999999999977,-2.3299999999999983,-1.7199999999999989,-4.0,118.0,-4,102,-0.32473520249221177,0.5428288225282872
win,3.35,-3.1500000000000004,5.579999999999997,6.709999999999994,5.519999999999996,4.900000000000006,-30.0,684.0,-8,105,0.3710526583152997,0.5584536620944549
win,3.34,-1.21,2.5799999999999983,2.3599999999999994,2.9099999999999966,3.3199999999999936,-11.0,228.0,-12,120,-0.7615035513366457,0.6365778599252931
