Elo_ranking,Country_simp,Elo_rating,avg_rank,avg_rating,total_game,total_wins,total_lose,total_draw,goal_for,goal_against,year
209,Chagos Islands,808,209,808,1,0,0,1,1,1,2014
210,Guam,806,204,675,88,21,58,9,118,490,2014
211,Taiwan,796,134,1219,259,68,146,45,354,620,2014
212,Djibouti,789,172,878,68,3,61,4,49,276,2014
213,Turks & Caicos,776,208,783,17,3,13,1,10,58,2014
214,Mongolia,736,183,869,48,10,33,5,44,170,2014
215,Tuvalu,725,201,746,20,4,13,3,25,104,2014
216,Cambodia,718,150,1099,209,42,136,31,232,572,2014
217,Wallis and Futuna,701,196,699,24,5,19,0,23,109,2014
218,St Barthélemy,695,216,695,2,0,2,0,1,11,2014
219,Vatican,686,214,702,4,0,3,1,1,6,2014
220,Tonga,684,205,687,50,14,30,6,64,180,2014
221,US Virgin Isl,680,216,689,37,3,28,6,19,189,2014
222,Samoa,679,208,648,55,15,36,4,78,207,2014
223,St Pierre/Miquel,677,220,682,7,0,7,0,2,78,2014
224,Cook Islands,675,201,683,44,9,31,4,40,245,2014
225,East Timor,641,224,607,32,3,27,2,36,107,2014
226,Macao,638,163,1006,127,18,99,10,107,418,2014
227,Br Virgin Islands,634,197,853,87,17,58,12,81,279,2014
228,Montserrat,632,186,609,36,5,29,2,32,168,2014
229,Tibet,631,202,675,9,0,8,1,7,35,2014
230,Brunei,608,193,815,107,14,82,11,77,355,2014
231,Falkland Islands,580,224,592,3,0,3,0,0,21,2014
232,FS Micronesia,564,225,578,8,1,7,0,8,64,2014
233,Anguilla,555,218,553,54,3,48,3,32,229,2014
234,Kiribati,545,212,589,11,0,10,1,7,126,2014
235,Bhutan,522,212,606,62,4,53,5,38,226,2014
236,Niue,496,219,496,2,0,2,0,0,33,2014
237,N Marianas,462,225,574,20,3,16,1,28,83,2014
238,Palau,403,231,403,2,0,2,0,3,27,2014
239,Eastern Samoa,381,219,476,42,2,39,1,22,294,2014
1,Brazil,2136,4,1994,982,623,158,201,2131,893,2018
2,France,2094,17,1774,847,413,257,177,1495,1205,2018
3,Belgium,2035,24,1740,790,338,287,165,1400,1285,2018
4,Spain,2011,7,1938,692,404,131,157,1380,632,2018
5,Netherlands,1985,15,1839,811,411,224,176,1674,1052,2018
6,Colombia,1961,51,1588,564,221,191,152,713,674,2018
7,England,1960,4,1979,1065,617,202,246,2477,1061,2018
8,Portugal,1959,20,1781,608,290,175,143,1013,713,2018
9,Germany,1938,8,1908,960,557,207,196,2147,1130,2018
10,Croatia,1925,12,1875,313,165,63,85,543,309,2018
11,Uruguay,1923,12,1876,930,407,301,222,1482,1169,2018
12,Switzerland,1922,28,1677,808,283,352,173,1184,1378,2018
13,Argentina,1915,5,1983,1017,544,222,251,1914,1081,2018
14,Denmark,1898,20,1793,820,373,279,168,1488,1142,2018
15,Italy,1889,8,1912,814,426,163,225,1394,814,2018
16,Peru,1855,35,1669,628,204,269,155,790,895,2018
17,Sweden,1851,16,1796,1037,507,305,225,2088,1374,2018
17,Chile,1851,28,1673,771,294,311,166,1106,1113,2018
19,Iran,1823,41,1648,597,331,121,145,1105,472,2018
20,Serbia,1808,20,1784,781,367,245,169,1491,1078,2018
21,Bosnia and Herzegovina,1795,52,1634,207,84,77,46,306,272,2018
22,Mexico,1787,20,1775,904,462,234,208,1620,946,2018
23,South Korea,1778,35,1682,958,519,203,236,1739,879,2018
24,Ukraine,1773,35,1720,255,115,69,71,349,248,2018
25,Ecuador,1772,67,1497,514,152,233,129,623,826,2018
26,Scotland,1764,20,1812,782,325,288,169,1405,1233,2018
27,Wales,1760,22,1663,655,204,310,141,819,1090,2018
28,Senegal,1758,58,1578,592,250,173,169,782,586,2018
29,Venezuela,1756,87,1400,403,102,213,88,433,775,2018
30,Romania,1753,27,1720,718,322,217,179,1176,911,2018
30,Russia,1753,23,1741,715,368,159,188,1249,705,2018
32,Poland,1752,30,1708,836,359,270,207,1421,1139,2018
33,Slovakia,1748,39,1681,292,118,107,67,417,376,2018
34,United States,1743,41,1634,709,302,257,150,1024,970,2018
35,Australia,1735,34,1669,560,284,157,119,1150,639,2018
36,Japan,1731,64,1441,731,339,237,155,1266,906,2018
37,Morocco,1730,44,1650,624,292,152,180,909,559,2018
38,Czech Republic,1729,12,1861,800,386,235,179,1486,995,2018
39,Paraguay,1725,23,1756,713,256,273,184,935,1025,2018
40,Costa Rica,1724,34,1694,691,319,209,163,1234,797,2018
41,Austria,1722,13,1885,788,376,240,172,1374,966,2018
42,Nigeria,1713,40,1665,620,283,159,178,927,635,2018
43,Ireland,1704,22,1625,665,235,259,171,888,1078,2018
44,Turkey,1691,42,1605,577,217,224,136,774,840,2018
45,Norway,1678,38,1612,814,294,340,180,1214,1372,2018
46,Iceland,1669,81,1411,439,134,222,83,524,741,2018
47,Bolivia,1655,59,1500,457,104,240,113,477,895,2018
48,Tunisia,1650,53,1601,657,269,203,185,931,746,2018
49,Bulgaria,1629,38,1641,694,264,263,167,991,1021,2018
50,Ghana,1626,42,1659,683,335,182,166,1115,706,2018
51,North Ireland,1622,39,1654,541,147,259,135,561,833,2018
52,Finland,1621,62,1490,744,187,401,156,877,1588,2018
53,Egypt,1617,34,1672,769,387,199,183,1358,831,2018
54,Greece,1613,49,1548,572,211,222,139,708,810,2018
55,Hungary,1611,19,1841,957,454,300,203,1981,1432,2018
56,Ivory Coast,1605,43,1648,587,291,143,153,945,601,2018
57,Cameroon,1599,52,1606,579,251,155,173,842,647,2018
58,Syria,1598,87,1420,494,187,183,124,725,628,2018
59,Honduras,1591,61,1497,580,234,194,152,856,740,2018
60,Uzbekistan,1590,60,1592,276,128,91,57,479,325,2018
61,Montenegro,1589,52,1641,94,32,36,26,117,116,2018
62,Saudi Arabia,1580,77,1491,704,341,201,162,1124,766,2018
63,Iraq,1579,47,1621,655,308,166,181,1063,612,2018
64,Jamaica,1570,83,1402,619,238,239,142,819,826,2018
65,Panama,1568,102,1339,490,151,218,121,580,773,2018
66,Slovenia,1561,55,1617,238,81,99,58,285,296,2018
66,Israel,1561,48,1621,454,171,179,104,693,642,2018
68,South Africa,1550,27,1731,421,184,120,117,580,451,2018
69,DR Congo,1547,60,1564,464,189,150,125,737,575,2018
69,Canada,1547,47,1596,393,140,159,94,444,526,2018
71,Georgia,1546,71,1547,241,77,114,50,297,336,2018
72,Algeria,1544,52,1625,580,244,182,154,831,616,2018
73,Belarus,1538,77,1521,228,70,98,60,269,315,2018
74,Mali,1531,69,1526,533,211,184,138,698,643,2018
75,Qatar,1528,97,1390,570,230,190,150,799,665,2018
76,Burkina Faso,1527,99,1396,399,131,163,105,484,566,2018
77,Oman,1524,134,1168,487,174,188,125,622,683,2018
78,Libya,1519,77,1522,227,66,104,57,260,306,2018
79,Albania,1515,75,1490,330,83,178,69,292,520,2018
79,China,1515,45,1591,668,334,189,145,1286,721,2018
81,Haiti,1512,80,1408,493,211,177,105,808,676,2018
82,New Zealand,1502,63,1506,391,159,160,72,678,599,2018
83,Kosovo,1495,111,1386,33,13,15,5,48,49,2018
84,Guatemala,1494,66,1487,534,187,204,143,735,750,2018
85,UAE,1482,100,1382,564,218,202,144,775,710,2018
86,Libya,1476,78,1484,383,139,154,90,538,516,2018
86,Uganda,1476,71,1491,638,270,201,167,996,773,2018
88,Zimbabwe,1474,78,1472,457,187,146,124,640,532,2018
89,Guinea,1469,69,1528,525,198,171,156,760,654,2018
89,Estonia,1469,91,1344,461,116,242,103,465,810,2018
91,North Cyprus,1457,84,1464,17,9,6,2,30,23,2018
92,El Salvador,1454,69,1473,585,194,263,128,757,899,2018
93,Lebanon,1451,109,1317,321,89,144,88,397,512,2018
94,Martinique,1450,76,1463,322,151,95,76,619,414,2018
95,Armenia,1448,105,1405,211,49,119,43,205,382,2018
96,Jordan,1446,116,1294,455,150,176,129,536,555,2018
97,Kuwait,1434,81,1475,650,278,203,169,1036,724,2018
98,Trinidad and Tobago,1433,57,1515,784,349,268,167,1320,974,2018
99,Bahrain,1431,112,1334,528,177,205,146,639,687,2018
100,North Korea,1429,56,1608,389,169,111,109,618,392,2018
101,Kurdistan,1425,103,1425,4,3,0,1,12,3,2018
102,Zambia,1417,58,1566,758,347,213,198,1214,773,2018
103,Cyprus,1414,99,1383,355,69,225,61,317,782,2018
104,Cape Verde,1407,125,1276,178,61,78,39,180,212,2018
105,Gabon,1406,95,1413,395,132,149,114,457,473,2018
106,Azerbaijan,1403,107,1399,251,52,133,66,201,418,2018
107,Congo,1391,77,1493,424,161,161,102,627,581,2018
108,Benin,1390,107,1358,282,65,152,65,293,533,2018
109,Kenya,1388,88,1377,669,252,256,161,930,919,2018
110,Thailand,1382,112,1311,838,319,328,191,1322,1286,2018
111,Réunion,1381,125,1165,125,50,52,23,214,241,2018
112,Namibia,1379,140,1256,228,57,104,67,228,331,2018
113,Palestine,1376,124,1229,221,58,106,57,285,371,2018
114,Zanzibar,1372,147,1091,200,37,124,39,168,431,2018
115,Burundi,1364,122,1289,180,57,80,43,201,243,2018
116,Togo,1361,86,1450,433,139,187,107,472,604,2018
117,Sierra Leone,1359,102,1373,276,81,125,70,259,382,2018
118,Mauritania,1357,159,1086,222,35,137,50,157,431,2018
119,Luxembourg,1347,107,1244,393,34,312,47,240,1090,2018
120,Liberia,1344,110,1343,280,75,140,65,269,427,2018
121,Madagascar,1341,101,1369,284,113,111,60,408,428,2018
122,Cuba,1339,81,1434,441,170,166,105,622,593,2018
123,Lithuania,1338,85,1316,343,93,185,65,356,624,2018
124,Vietnam,1335,121,1287,440,180,171,89,790,682,2018
125,Curaçao,1334,94,1383,424,175,147,102,756,669,2018
126,C African Rep,1332,121,1300,117,25,68,24,131,243,2018
127,Kazakhstan,1330,99,1426,195,46,102,47,206,326,2018
128,Tanzania,1328,116,1286,547,160,236,151,640,828,2018
129,Angola,1325,85,1467,377,134,114,129,440,398,2018
129,Moldova,1325,101,1422,223,44,123,56,184,357,2018
131,French Guiana,1321,121,1248,154,46,78,30,230,274,2018
132,Botswana,1314,154,1136,283,76,125,82,231,374,2018
133,Guinea-Bissau,1313,124,1280,147,41,72,34,149,225,2018
134,Niger,1312,132,1239,223,48,121,54,213,398,2018
135,Gambia,1306,116,1313,229,57,106,66,231,337,2018
136,Lesotho,1300,151,1179,262,53,134,75,215,436,2018
137,Mozambique,1298,119,1323,325,101,145,79,329,422,2018
137,Latvia,1298,79,1413,385,111,182,92,465,634,2018
139,Equat Guinea,1295,158,1133,129,30,73,26,107,212,2018
140,Kyrgyzstan,1288,160,1179,130,38,73,19,125,237,2018
141,Nicaragua,1280,144,1010,182,31,135,16,165,525,2018
142,Sudan,1279,84,1465,452,159,185,108,541,605,2018
143,Rwanda,1268,144,1199,237,74,105,58,248,318,2018
144,Dominican Rep,1265,160,1022,132,47,67,18,204,234,2018
145,Ethiopia,1262,94,1407,402,147,170,85,570,603,2018
146,Suriname,1258,80,1410,475,206,157,112,861,658,2018
147,Chad,1255,131,1250,142,31,80,31,138,269,2018
147,Faroe Islands,1255,119,1251,210,33,153,24,151,518,2018
149,Malawi,1253,112,1329,584,198,220,166,706,764,2018
150,St Kitts/Nevis,1247,134,1177,197,84,76,37,352,291,2018
151,Turkmenistan,1246,112,1375,145,58,60,27,237,212,2018
152,Tahiti,1222,95,1412,227,122,72,33,634,347,2018
153,New Caledonia,1221,97,1371,253,124,98,31,664,380,2018
154,Mayotte,1219,158,1194,33,10,14,9,46,52,2018
154,India,1219,113,1319,520,193,227,100,744,878,2018
156,Hong Kong,1212,118,1299,448,163,198,87,735,763,2018
157,Tajikistan,1209,120,1340,144,54,64,26,213,235,2018
157,Fiji,1209,125,1253,239,107,89,43,551,387,2018
159,Vanuatu,1207,154,1103,184,57,101,26,332,402,2018
160,Solomon Isl,1206,144,1187,180,75,73,32,386,354,2018
161,Guadeloupe,1203,85,1425,249,106,96,47,425,362,2018
161,Eswatini,1203,149,1183,238,50,121,67,197,412,2018
163,Indonesia,1199,97,1369,703,265,301,137,1175,1147,2018
164,Yemen,1188,141,1218,242,55,143,44,246,491,2018
165,Guyana,1184,100,1298,391,115,194,82,478,674,2018
166,Bermuda,1183,125,1290,178,60,82,36,284,291,2018
167,Malta,1178,115,1329,383,46,271,66,234,879,2018
168,Antigua/Barb,1171,141,1189,241,84,110,47,353,390,2018
168,Philippines,1171,131,1067,329,78,203,48,336,899,2018
170,Belize,1156,135,1115,85,18,50,17,87,168,2018
171,Afghanistan,1149,166,889,121,30,65,26,122,255,2018
172,Saint Lucia,1140,121,1252,207,67,106,34,296,396,2018
173,Liechtenstein,1138,163,1133,188,15,150,23,84,534,2018
174,Barbados,1133,115,1256,316,100,131,85,402,496,2018
175,Malaysia,1127,120,1290,840,311,332,197,1337,1246,2018
176,Gibraltar,1103,178,1087,46,10,32,4,37,150,2018
177,Papua N Guinea,1091,163,1086,132,42,67,23,301,293,2018
178,Comoros,1089,194,877,71,8,44,19,43,134,2018
179,Andorra,1081,183,1039,156,6,131,19,44,406,2018
180,Singapore,1080,130,1236,690,211,338,141,920,1247,2018
181,St Vincent/Gren,1079,102,1348,296,104,122,70,465,534,2018
182,Eritrea,1078,161,1169,75,12,45,18,48,125,2018
183,São Tomé/Pr,1076,172,1060,48,7,35,6,35,126,2018
184,Mauritius,1072,99,1364,292,86,142,64,386,477,2018
185,Grenada,1070,93,1398,246,86,101,59,416,442,2018
186,Myanmar,1057,126,1257,477,199,190,88,810,779,2018
187,Dominica,1044,125,1214,197,46,108,43,232,405,2018
188,South Sudan,1022,181,1081,33,4,23,6,21,71,2018
189,Puerto Rico,1008,161,929,155,26,105,24,141,427,2018
190,Somaliland,1002,189,998,2,1,0,1,4,3,2018
191,Western Sahara,996,189,996,1,0,1,0,0,6,2018
192,Maldives,979,190,880,192,54,104,34,245,442,2018
193,Taiwan,974,138,1197,297,86,164,47,417,689,2018
193,Bonaire,974,144,1047,71,14,49,8,72,194,2018
195,Seychelles,969,179,987,135,21,93,21,112,279,2018
196,Greenland,963,183,978,20,5,14,1,33,42,2018
197,Cayman Islands,945,178,1032,93,16,59,18,93,235,2018
198,Pakistan,936,146,1137,254,60,147,47,250,560,2018
199,Aruba,931,118,1221,167,41,87,39,243,372,2018
200,Monaco,903,199,899,9,4,2,3,11,15,2018
201,Nepal,879,189,883,231,53,139,39,203,549,2018
202,Bahamas,856,186,883,47,9,33,5,43,169,2018
203,Somalia,848,160,1099,116,12,90,14,63,317,2018
204,San Marino,836,191,942,156,1,150,5,23,664,2018
205,Saint Martin,829,183,1008,47,17,26,4,65,127,2018
206,Sint Maarten,816,183,922,40,10,24,6,48,113,2018
207,Guam,794,204,690,105,24,69,12,132,522,2018
208,Cambodia,792,154,1078,258,56,167,35,294,678,2018
208,Djibouti,792,174,872,83,4,75,4,53,331,2018
210,Bangladesh,791,178,996,254,67,134,53,234,478,2018
211,Turks & Caicos,779,209,779,23,4,18,1,17,95,2018
211,Tuvalu,779,202,745,26,7,16,3,37,133,2018
213,Chagos Islands,776,210,799,3,0,2,1,4,10,2018
214,Montserrat,732,189,612,41,7,31,3,39,174,2018
215,US Virgin Isl,715,216,695,47,5,36,6,23,228,2018
216,Sri Lanka,708,174,928,231,46,147,38,228,608,2018
216,Mongolia,708,186,855,67,15,44,8,83,208,2018
218,Wallis and Futuna,701,197,699,24,5,19,0,23,109,2018
219,St Barthélemy,699,217,696,6,2,4,0,13,21,2018
220,Laos,693,181,921,200,37,135,28,205,657,2018
221,Vatican,692,216,699,5,0,3,2,1,6,2018
222,Samoa,691,209,652,61,17,40,4,84,229,2018
223,Cook Islands,687,202,683,47,11,32,4,44,247,2018
224,St Pierre/Miquel,677,221,680,7,0,7,0,2,78,2018
225,Macao,676,166,986,151,23,112,16,136,465,2018
226,Br Virgin Islands,645,201,824,99,19,66,14,91,311,2018
227,East Timor,644,223,622,62,7,49,6,61,195,2018
228,Tibet,630,204,671,10,0,9,1,8,38,2018
229,Brunei,615,196,799,120,18,90,12,94,386,2018
230,Anguilla,586,220,554,68,6,57,5,42,272,2018
231,Falkland Islands,580,225,589,3,0,3,0,0,21,2018
232,FS Micronesia,564,226,575,8,1,7,0,8,64,2018
233,Bhutan,556,214,603,89,7,76,6,52,349,2018
234,Tonga,546,208,676,59,14,39,6,70,218,2018
235,Kiribati,545,215,585,11,0,10,1,7,126,2018
236,Niue,496,221,496,2,0,2,0,0,33,2018
237,Eastern Samoa,463,221,473,46,4,41,1,28,304,2018
238,N Marianas,409,227,546,26,3,21,2,31,116,2018
239,Palau,403,232,403,2,0,2,0,3,27,2018
1,Argentina,2143,5,1984,1068,577,226,265,2016,1115,2022
2,Brazil,2134,4,1999,1031,657,162,212,2238,915,2022
3,France,2082,16,1784,897,446,263,188,1605,1247,2022
4,Netherlands,2073,15,1844,858,441,230,187,1784,1094,2022
5,Portugal,1999,19,1789,656,320,184,152,1124,748,2022
6,Spain,1996,7,1941,741,432,136,173,1487,665,2022
7,Italy,1974,8,1915,862,458,168,236,1502,845,2022
8,England,1967,4,1979,1115,649,210,256,2602,1094,2022
9,Germany,1956,8,1910,1006,582,214,210,2265,1184,2022
10,Croatia,1951,13,1876,363,189,76,98,626,368,2022
11,Belgium,1948,23,1751,837,370,295,172,1516,1325,2022
12,Colombia,1919,50,1605,608,241,200,167,768,711,2022
13,Uruguay,1905,12,1878,974,429,310,235,1546,1204,2022
14,Denmark,1883,20,1798,867,401,290,176,1591,1180,2022
15,Switzerland,1879,27,1684,855,303,366,186,1262,1437,2022
16,Morocco,1867,44,1654,677,324,160,193,996,592,2022
17,Peru,1851,34,1676,676,223,288,165,841,952,2022
18,Japan,1850,62,1453,788,376,249,163,1383,946,2022
19,Ecuador,1842,65,1511,561,167,248,146,680,880,2022
20,Serbia,1835,20,1785,825,388,254,183,1573,1133,2022
21,Hungary,1825,20,1836,1000,474,314,212,2039,1481,2022
22,Ukraine,1822,33,1734,298,134,79,85,413,300,2022
23,United States,1819,41,1639,769,339,268,162,1142,1010,2022
24,Mexico,1813,20,1778,970,502,246,222,1736,1001,2022
25,Poland,1802,29,1711,882,382,283,217,1502,1189,2022
26,South Korea,1788,35,1687,1008,551,212,245,1828,921,2022
27,Czech Republic,1779,13,1858,845,406,254,185,1556,1055,2022
27,Iran,1779,40,1654,634,356,129,149,1187,497,2022
29,Australia,1772,34,1671,593,304,165,124,1210,663,2022
30,Sweden,1758,16,1797,1085,532,322,231,2159,1428,2022
31,Norway,1754,38,1616,852,313,348,191,1284,1408,2022
32,Russia,1753,23,1742,751,388,168,195,1317,742,2022
33,Scotland,1752,20,1809,826,347,304,175,1474,1286,2022
33,Austria,1752,14,1879,831,396,253,182,1433,1017,2022
35,Tunisia,1747,52,1603,712,300,216,196,1009,781,2022
35,Senegal,1747,56,1588,644,282,181,181,862,624,2022
37,Costa Rica,1737,35,1693,741,338,226,177,1282,849,2022
38,Paraguay,1726,23,1756,757,266,291,200,974,1082,2022
39,Wales,1717,22,1667,701,223,324,154,867,1137,2022
40,Turkey,1712,42,1610,623,241,234,148,865,896,2022
40,Canada,1712,47,1599,440,169,172,99,560,567,2022
42,Algeria,1707,51,1630,633,280,186,167,948,653,2022
43,Chile,1697,28,1677,817,306,331,180,1150,1172,2022
44,Greece,1690,49,1552,613,229,234,150,758,850,2022
45,Finland,1689,62,1497,789,205,420,164,929,1640,2022
46,Venezuela,1684,85,1417,443,115,232,96,480,829,2022
47,Cameroon,1679,52,1605,619,270,162,187,896,677,2022
48,Ireland,1676,23,1627,705,248,271,186,935,1113,2022
49,Ivory Coast,1670,44,1647,628,315,152,161,1013,635,2022
50,Slovenia,1667,55,1615,278,98,109,71,343,333,2022
51,Egypt,1662,35,1669,813,413,206,194,1417,855,2022
52,Georgia,1652,71,1547,280,91,129,60,341,384,2022
53,Panama,1646,100,1349,544,172,238,134,661,849,2022
54,Saudi Arabia,1643,76,1496,757,365,217,175,1190,809,2022
55,Nigeria,1631,40,1666,663,303,172,188,988,679,2022
56,Mali,1620,69,1528,569,228,192,149,748,666,2022
56,Israel,1620,49,1619,492,185,194,113,759,710,2022
58,Bolivia,1618,59,1505,495,111,267,117,518,977,2022
59,Bosnia and Herzegovina,1616,51,1638,246,94,94,58,349,327,2022
60,Romania,1610,27,1719,757,336,234,187,1232,964,2022
61,Burkina Faso,1604,97,1406,436,149,170,117,533,599,2022
62,Ghana,1596,43,1655,723,351,194,178,1162,746,2022
63,Jordan,1590,114,1306,507,177,192,138,611,604,2022
64,Slovakia,1580,39,1682,335,132,122,81,472,428,2022
65,Qatar,1578,93,1412,632,263,208,161,901,734,2022
66,Uzbekistan,1573,61,1589,318,152,106,60,556,365,2022
67,Iraq,1572,48,1620,706,330,175,201,1122,655,2022
68,Jamaica,1556,82,1409,663,253,255,155,876,881,2022
69,Oman,1553,130,1192,533,197,202,134,691,723,2022
70,South Africa,1543,29,1724,463,205,129,129,631,485,2022
70,Iceland,1543,80,1420,488,148,242,98,576,817,2022
70,Albania,1543,75,1493,370,98,194,78,340,567,2022
73,Montenegro,1540,57,1615,134,44,52,38,159,170,2022
73,North Ireland,1540,40,1653,579,159,276,144,601,884,2022
75,Haiti,1536,80,1413,524,227,188,109,872,717,2022
76,N Macedonia,1534,75,1528,271,83,120,68,324,362,2022
77,New Zealand,1527,63,1506,407,167,167,73,703,613,2022
78,Bulgaria,1522,39,1637,736,272,284,180,1030,1086,2022
79,Kosovo,1507,106,1403,76,27,34,15,107,111,2022
80,Bahrain,1494,109,1347,581,205,220,156,721,739,2022
81,Gabon,1490,95,1415,421,143,156,122,490,502,2022
82,UAE,1488,99,1389,611,240,219,152,852,769,2022
83,Cape Verde,1485,123,1286,206,74,85,47,215,235,2022
84,El Salvador,1484,70,1474,639,215,285,139,820,958,2022
85,Honduras,1472,61,1499,625,245,216,164,904,806,2022
86,China,1468,47,1587,702,349,203,150,1343,759,2022
87,Zambia,1466,59,1560,804,365,231,208,1282,845,2022
88,DR Congo,1458,61,1561,496,197,162,137,768,610,2022
89,North Cyprus,1457,84,1463,17,9,6,2,30,23,2022
90,Armenia,1452,102,1416,249,60,138,51,246,467,2022
91,Guatemala,1450,67,1486,575,208,214,153,816,783,2022
92,Luxembourg,1443,108,1249,434,44,335,55,279,1159,2022
93,Equat Guinea,1434,154,1152,157,41,82,34,136,243,2022
94,Palestine,1430,123,1237,251,73,115,63,331,404,2022
94,Estonia,1430,92,1350,504,127,265,112,502,888,2022
96,Kurdistan,1425,101,1425,4,3,0,1,12,3,2022
97,Syria,1424,87,1422,540,200,208,132,779,695,2022
97,Gambia,1424,116,1316,260,71,115,74,262,363,2022
99,Azerbaijan,1423,108,1395,291,60,156,75,234,476,2022
100,Belarus,1415,78,1516,269,81,122,66,306,384,2022
101,Angola,1407,88,1458,406,146,123,137,474,423,2022
102,Uganda,1394,72,1490,680,285,214,181,1037,809,2022
103,Vietnam,1393,120,1293,476,195,184,97,838,717,2022
104,Benin,1392,107,1363,315,78,163,74,329,563,2022
104,Mauritania,1392,156,1104,261,47,153,61,190,480,2022
106,Kazakhstan,1391,101,1418,233,57,122,54,242,388,2022
107,Martinique,1387,77,1461,340,155,104,81,641,452,2022
108,Guinea,1386,71,1522,563,208,188,167,792,701,2022
109,Guinea-Bissau,1383,124,1283,177,50,84,43,183,265,2022
110,North Korea,1375,59,1594,402,174,117,111,632,420,2022
110,Kenya,1375,88,1377,697,263,264,170,959,954,2022
112,Thailand,1373,112,1313,879,337,342,200,1380,1329,2022
113,Namibia,1369,137,1267,262,69,119,74,263,373,2022
113,Réunion,1369,125,1174,130,53,53,24,224,243,2022
115,Curaçao,1364,95,1384,452,184,158,110,800,704,2022
115,Botswana,1364,152,1149,313,84,139,90,252,401,2022
117,Cyprus,1355,100,1382,395,77,250,68,349,858,2022
118,Libya,1352,79,1480,412,148,170,94,564,556,2022
118,Latvia,1352,84,1403,426,122,200,104,512,699,2022
118,Ethiopia,1352,96,1401,434,155,183,96,610,644,2022
121,French Guiana,1349,122,1250,169,53,82,34,253,293,2022
122,Trinidad and Tobago,1340,59,1510,819,358,284,177,1374,1029,2022
123,Sierra Leone,1338,103,1372,301,86,136,79,279,418,2022
124,Zanzibar,1328,146,1104,203,37,126,40,169,434,2022
125,Cuba,1327,83,1428,470,181,179,110,659,644,2022
126,Tajikistan,1325,124,1329,176,65,77,34,249,268,2022
127,Mozambique,1322,120,1322,364,110,162,92,361,465,2022
127,Suriname,1322,82,1407,501,220,166,115,915,692,2022
129,Lebanon,1320,109,1320,355,97,163,95,424,555,2022
129,Togo,1320,89,1443,460,144,199,117,498,637,2022
131,Zimbabwe,1318,80,1468,489,193,159,137,665,568,2022
132,Kuwait,1315,83,1470,685,290,218,177,1085,770,2022
132,Tanzania,1315,117,1287,583,169,253,161,671,870,2022
134,Liberia,1311,111,1343,305,81,157,67,283,461,2022
135,Faroe Islands,1308,120,1251,250,42,176,32,186,600,2022
136,Sudan,1305,87,1455,498,171,203,124,587,667,2022
137,Madagascar,1303,101,1369,315,119,126,70,442,478,2022
138,Congo,1302,79,1485,446,165,172,109,645,614,2022
139,Eswatini,1299,150,1183,271,59,131,81,236,454,2022
140,Malawi,1296,113,1329,624,210,236,178,739,811,2022
141,Rwanda,1280,144,1205,262,81,115,66,273,337,2022
142,Indonesia,1271,100,1360,736,280,314,142,1242,1206,2022
143,C African Rep,1265,121,1301,137,28,80,29,145,276,2022
144,Kyrgyzstan,1264,157,1191,154,47,85,22,168,274,2022
145,Malta,1260,117,1322,423,57,294,72,272,956,2022
146,Nicaragua,1258,144,1019,219,42,152,25,212,574,2022
147,Burundi,1257,123,1288,212,65,97,50,239,288,2022
148,Turkmenistan,1249,116,1360,161,63,69,29,255,241,2022
148,Fiji,1249,126,1252,258,117,93,48,594,407,2022
150,Lithuania,1248,88,1316,384,100,212,72,382,708,2022
151,Comoros,1247,191,907,107,22,61,24,86,185,2022
152,Niger,1244,133,1241,255,54,139,62,244,458,2022
153,Moldova,1233,107,1399,267,51,156,60,210,456,2022
154,Mayotte,1225,157,1200,38,13,16,9,54,56,2022
155,Papua N Guinea,1223,164,1091,142,49,69,24,325,299,2022
155,Lesotho,1223,150,1185,294,58,146,90,237,483,2022
157,India,1217,115,1314,553,203,240,110,783,925,2022
158,Guadeloupe,1215,88,1415,267,115,104,48,461,384,2022
159,Malaysia,1213,122,1284,876,331,346,199,1407,1294,2022
160,Solomon Isl,1208,145,1186,195,83,78,34,434,379,2022
161,Bermuda,1205,126,1288,203,67,95,41,321,339,2022
162,Chad,1189,133,1247,155,32,89,34,146,289,2022
163,Guyana,1184,102,1294,421,126,209,86,521,735,2022
164,St Kitts/Nevis,1177,135,1178,215,91,84,40,379,316,2022
165,Dominican Rep,1176,160,1031,155,53,77,25,227,262,2022
166,New Caledonia,1172,99,1366,265,129,105,31,689,398,2022
167,Antigua/Barb,1164,142,1188,260,93,119,48,378,433,2022
168,Tahiti,1158,99,1399,236,125,77,34,655,360,2022
169,Eritrea,1144,163,1163,84,15,50,19,57,136,2022
170,Hong Kong,1139,121,1292,470,167,212,91,746,804,2022
171,Grenada,1136,96,1387,271,94,112,65,440,479,2022
172,Singapore,1127,132,1231,721,222,352,147,961,1302,2022
173,Vanuatu,1126,155,1107,194,60,107,27,361,419,2022
174,Andorra,1108,183,1044,196,13,158,25,66,483,2022
175,South Sudan,1104,181,1076,54,9,36,9,36,98,2022
176,Yemen,1098,143,1215,265,57,159,49,256,543,2022
177,Afghanistan,1095,167,901,139,33,74,32,138,289,2022
178,Philippines,1093,132,1069,352,85,216,51,366,935,2022
179,Puerto Rico,1088,162,933,169,33,111,25,167,448,2022
180,Belize,1077,136,1116,103,22,61,20,103,199,2022
181,São Tomé/Pr,1071,173,1061,62,10,45,7,49,165,2022
182,Gibraltar,1069,178,1086,84,14,60,10,53,256,2022
