date,home_team,away_team,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,result,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away
2006,Brazil,Croatia,1.4,3.5,8.0,1,0,win,-6.6,82.67,83.17,81.22,82.22,78.12,78.5,76.75,74.62,1.0,839.0,20.0,701.0
2006,Brazil,France,1.74,3.25,5.08,0,1,lose,-3.34,82.67,83.17,81.22,82.22,83.28,83.28,82.56,81.72,1.0,839.0,5.0,768.0
2014,Brazil,Germany,2.69,3.19,2.87,1,7,lose,-0.18000000000000016,82.67,83.17,81.22,82.22,83.83,82.44,83.11,81.22,10.0,1102.0,2.0,1318.0
2006,Brazil,Ghana,1.26,5.16,10.25,3,0,win,-8.99,82.67,83.17,81.22,82.22,76.0,79.5,74.5,73.5,1.0,839.0,50.0,608.0
2010,Brazil,Ivory Coast,1.72,3.44,5.32,3,1,win,-3.6000000000000005,82.67,83.17,81.22,82.22,76.0,77.6,75.8,73.8,2.0,1568.0,16.0,865.0
2018,Brazil,Mexico,1.5,4.38,7.58,2,0,win,-6.08,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,2.0,1483.0,16.0,1032.0
2014,Brazil,Mexico,1.33,5.33,9.34,0,0,draw,-8.01,82.67,83.17,81.22,82.22,76.94,77.28,76.17,75.0,10.0,1102.0,21.0,892.0
2014,Brazil,Netherlands,2.17,3.7,3.26,0,3,lose,-1.0899999999999999,82.67,83.17,81.22,82.22,81.0,81.47,80.29,78.88,10.0,1102.0,9.0,1106.0
2010,Brazil,North Korea,1.1,9.09,28.29,2,1,win,-27.189999999999998,82.67,83.17,81.22,82.22,65.0,66.0,64.0,65.0,2.0,1568.0,86.0,378.0
2018,Brazil,Switzerland,1.47,4.38,8.28,1,1,draw,-6.81,82.67,83.17,81.22,82.22,76.94,74.88,75.81,76.44,2.0,1483.0,8.0,1190.0
2014,Cameroon,Croatia,5.38,3.9,1.67,0,4,lose,3.71,74.31,74.56,72.81,72.75,78.12,78.5,76.75,74.62,50.0,616.0,16.0,971.0
2010,Cameroon,Denmark,2.87,3.17,2.52,1,2,lose,0.3500000000000001,74.31,74.56,72.81,72.75,76.78,75.11,77.06,75.5,11.0,914.0,28.0,827.0
2010,Cameroon,Netherlands,5.26,3.73,1.66,1,2,lose,3.5999999999999996,74.31,74.56,72.81,72.75,81.0,81.47,80.29,78.88,11.0,914.0,3.0,1288.0
2014,Chile,Australia,1.42,4.44,8.74,3,1,win,-7.32,76.6,77.2,77.0,73.5,72.17,71.56,71.11,69.28,15.0,1005.0,58.0,571.0
2010,Chile,Spain,6.91,4.15,1.48,1,2,lose,5.43,76.6,77.2,77.0,73.5,84.61,83.06,84.44,82.83,15.0,955.0,1.0,1627.0
2010,Chile,Switzerland,2.16,3.14,3.6,1,0,win,-1.44,76.6,77.2,77.0,73.5,76.94,74.88,75.81,76.44,15.0,955.0,18.0,924.0
2018,Colombia,England,4.05,3.12,2.16,1,1,draw,1.8899999999999997,77.9,79.2,77.6,75.9,82.44,83.5,81.56,81.06,13.0,1078.0,15.0,1047.0
2014,Colombia,Greece,1.86,3.25,5.09,3,0,win,-3.2299999999999995,77.9,79.2,77.6,75.9,75.12,75.12,74.12,75.12,4.0,1200.0,12.0,1055.0
2014,Colombia,Ivory Coast,2.04,3.5,3.73,2,1,win,-1.69,77.9,79.2,77.6,75.9,76.0,77.6,75.8,73.8,4.0,1200.0,17.0,912.0
