date,home_team,away_team,result,home_team_odd,Draw_odd,away_team_odd,home_score,away_score,odd_dif,ovr_home,att_home,mid_home,defe_home,ovr_away,att_away,mid_away,defe_away,Previous_Rank_home,Total_Points_home,Previous_Rank_away,Total_Points_away,ovr_dif,att_dif,mid_dif,defe_dif,rank_dif,points_dif,goal_dif
2014,Belgium,Russia,win,2.21,3.34,3.42,1,0,-1.21,80.11,79.89,79.11,78.72,77.53,77.53,76.2,75.4,11.0,1098.0,22.0,870.0,2.5799999999999983,2.3599999999999994,2.9099999999999966,3.319999999999993,-11.0,228.0,1
2018,Belgium,Tunisia,win,1.33,5.15,11.78,5,2,-10.45,80.11,79.89,79.11,78.72,71.0,69.5,70.0,71.0,5.0,1325.0,27.0,915.0,9.11,10.39,9.11,7.719999999999999,-22.0,410.0,3
2014,Belgium,United States,win,2.03,3.39,3.96,2,1,-1.9300000000000002,80.11,79.89,79.11,78.72,74.39,74.0,73.67,72.5,11.0,1098.0,14.0,1019.0,5.719999999999999,5.890000000000001,5.439999999999998,6.219999999999999,-3.0,79.0,1
2014,Bosnia and Herzegovina,Iran,win,2.23,3.53,3.21,3,1,-0.98,74.0,77.0,75.0,72.0,75.0,81.0,73.0,72.0,19.0,899.0,33.0,727.0,-1.0,-4.0,2.0,0.0,-14.0,172.0,2
2006,Brazil,Australia,win,1.2,5.0,11.0,2,0,-9.8,82.67,83.17,81.22,82.22,72.17,71.56,71.11,69.28,1.0,839.0,48.0,610.0,10.5,11.61,10.11,12.939999999999998,-47.0,229.0,2
2018,Brazil,Belgium,lose,2.13,3.43,3.74,1,2,-1.6100000000000003,82.67,83.17,81.22,82.22,80.11,79.89,79.11,78.72,2.0,1483.0,5.0,1325.0,2.5600000000000023,3.280000000000001,2.1099999999999994,3.5,-3.0,158.0,-1
2014,Brazil,Cameroon,win,1.13,9.35,20.81,4,1,-19.68,82.67,83.17,81.22,82.22,74.31,74.56,72.81,72.75,10.0,1102.0,50.0,616.0,8.36,8.61,8.409999999999997,9.469999999999999,-40.0,486.0,3
2014,Brazil,Chile,draw,1.53,4.42,6.17,1,1,-4.64,82.67,83.17,81.22,82.22,76.6,77.2,77.0,73.5,10.0,1102.0,15.0,1005.0,6.070000000000007,5.969999999999999,4.219999999999999,8.719999999999999,-5.0,97.0,0
2010,Brazil,Chile,win,1.52,3.92,6.67,3,0,-5.15,82.67,83.17,81.22,82.22,76.6,77.2,77.0,73.5,2.0,1568.0,15.0,955.0,6.070000000000007,5.969999999999999,4.219999999999999,8.719999999999999,-13.0,613.0,3
2014,Brazil,Colombia,win,1.79,3.75,4.72,2,1,-2.9299999999999997,82.67,83.17,81.22,82.22,77.9,79.2,77.6,75.9,10.0,1102.0,4.0,1200.0,4.769999999999996,3.969999999999999,3.6200000000000045,6.319999999999993,6.0,-98.0,1
